miRNAName	CellLineName	Expression
hsa-miR-892a	A-204	3.70660494819443
hsa-miR-128	A-204	5.83945093749672
hsa-miR-627	A-204	3.41204150816274
hsa-miR-3605-5p	A-204	3.70660494819443
hsa-miR-562	A-204	3.04148900732243
hsa-miR-1323	A-204	3.79279131180959
hsa-miR-938	A-204	3.70660494819443
hsa-miR-515-3p	A-204	4.09374869519251
hsa-let-7c	A-204	9.66809141751587
hsa-miR-195-5p	A-204	3.87411787629007
hsa-miR-140-5p	A-204	9.30907771057084
hsa-miR-302b-3p	A-204	4.22355029116663
hsa-miR-335-5p	A-204	3.17586235885174
hsa-miR-590-5p	A-204	5.44614743025092
hsa-miR-1245b-5p	A-204	3.61494085443818
hsa-miR-337-5p	A-204	6.02894312316214
hsa-miR-27b-3p	A-204	7.87578043523711
hsa-miR-302d-3p	A-204	5.4193029348854
hsa-miR-1238	A-204	2.89330247989325
hsa-miR-449c-5p	A-204	3.61494085443818
hsa-miR-29c-3p	A-204	5.52380803098582
hsa-miR-95	A-204	3.70660494819443
hsa-miR-1226-3p	A-204	4.02418840322928
hsa-miR-485-5p	A-204	2.07547998593855
hsa-miR-892b	A-204	2.32727281492357
hsa-miR-524-3p	A-204	3.04148900732243
hsa-miR-581	A-204	4.22355029116663
hsa-miR-574-5p	A-204	6.53330039557856
hsa-miR-770-5p	A-204	3.51705519343672
hsa-miR-3190-5p	A-204	2.89330247989325
hsa-miR-2277-3p	A-204	3.17586235885174
hsa-miR-563	A-204	3.87411787629007
hsa-miR-15a-5p	A-204	10.3949054376462
hsa-miR-302f	A-204	3.51705519343672
hsa-miR-197-3p	A-204	6.84708290868209
hsa-miR-28-3p	A-204	6.42950590233816
hsa-miR-1205	A-204	3.9511035707332
hsa-miR-338-5p	A-204	3.17586235885174
hsa-miR-4458	A-204	2.54158156827372
hsa-miR-142-5p	A-204	3.79279131180959
hsa-miR-544a	A-204	3.61494085443818
hsa-miR-548k	A-204	3.9511035707332
hsa-miR-450a-5p	A-204	5.57335240254677
hsa-miR-516a-3p	A-204	3.29877956615272
hsa-miR-339-3p	A-204	4.02418840322928
hsa-miR-1257	A-204	3.9511035707332
hsa-miR-412	A-204	3.87411787629007
hsa-miR-622	A-204	1.77025170254242
hsa-miR-218-5p	A-204	3.79279131180959
hsa-miR-192-5p	A-204	4.09374869519251
hsa-miR-646	A-204	3.70660494819443
hsa-miR-129-2-3p	A-204	4.02418840322928
hsa-miR-1288	A-204	3.04148900732243
hsa-miR-3175	A-204	2.54158156827372
hsa-miR-1286	A-204	3.79279131180959
hsa-miR-132-3p	A-204	6.55812280030742
hsa-miR-100-5p	A-204	10.7197166135119
hsa-miR-889	A-204	3.41204150816274
hsa-miR-802	A-204	4.09374869519251
hsa-miR-141-3p	A-204	3.51705519343672
hsa-miR-582-3p	A-204	5.30663243063873
hsa-miR-1	A-204	3.79279131180959
hsa-miR-762	A-204	3.61494085443818
hsa-miR-153	A-204	4.09374869519251
hsa-miR-922	A-204	3.61494085443818
hsa-miR-526a+hsa-miR-520c-5p+hsa-miR-518d-5p	A-204	3.51705519343672
hsa-miR-601	A-204	3.61494085443818
hsa-miR-2052	A-204	2.54158156827372
hsa-miR-1251	A-204	3.51705519343672
hsa-miR-618	A-204	3.41204150816274
hsa-let-7f-5p	A-204	8.24792397198324
hsa-miR-198	A-204	3.17586235885174
hsa-miR-144-3p	A-204	5.59750082299286
hsa-miR-1258	A-204	4.02418840322928
hsa-miR-378b	A-204	3.29877956615272
hsa-miR-410	A-204	4.65026748186363
hsa-miR-369-5p	A-204	3.17586235885174
hsa-miR-34c-3p	A-204	3.87411787629007
hsa-miR-492	A-204	2.07547998593855
hsa-miR-1179	A-204	2.72813403143527
hsa-miR-215	A-204	3.04148900732243
hsa-miR-155-5p	A-204	5.87939287449055
hsa-miR-766-3p	A-204	3.70660494819443
hsa-miR-671-5p	A-204	2.32727281492357
hsa-miR-499a-3p	A-204	2.89330247989325
hsa-miR-486-3p	A-204	7.29388580168042
hsa-miR-659-3p	A-204	2.72813403143527
