"nsc","cell_line","flag_ic50","mean","OK"
752,"ES-4","=",-6.322393047,"y"
752,"ES-6","=",-5.191789027,"y"
752,"ES-7","=",-6,"y"
752,"ES-8","=",-6.231361899,"y"
752,"EW8","=",-6.005682847,"y"
752,"G-401","=",-5.744727495,"y"
752,"HOS","=",-6.772113295,"y"
752,"HSSY-II","=",-6.505845406,"y"
752,"HT-1080","=",-6.09420412,"y"
752,"Hs 132.T",">",-5,"y"
752,"Hs 706.T",">",-5,"y"
752,"Hs 729",">",-5,"y"
752,"Hs 913.T","=",-5.240332155,"y"
752,"Hu09","=",-5.222573178,"y"
752,"KHOS NP","=",-6.180456064,"y"
752,"KHOS-240S","=",-6.218244625,"y"
752,"KHOS-312H","=",-6.101274818,"y"
752,"LS141","=",-5.455931956,"y"
752,"MES-SA","=",-5.774690718,"y"
752,"MES-SA Dx5","=",-6.07007044,"y"
752,"MHM-25","=",-5.380906669,"y"
752,"MHM-8","=",-5.292429824,"y"
752,"MPNST","=",-5.962573502,"y"
752,"OHS","=",-6.338187314,"y"
752,"RD",">",-5,"y"
752,"RD-ES","=",-5.866461092,"y"
752,"Rh18",">",-5,"y"
752,"Rh28",">",-5,"y"
752,"Rh30","=",-5.642065153,"y"
752,"Rh36",">",-5,"y"
752,"Rh41",">",-5,"y"
752,"SAOS-2","=",-5.821023053,"y"
752,"SJCRH30(RMS 13)",">",-5,"y"
752,"SJSA-1","=",-5.463441557,"y"
752,"SK-ES-1","=",-5.080398976,"y"
752,"SK-LMS-1","=",-5.879426069,"y"
752,"SK-N-MC","=",-6.072629637,"y"
752,"SK-UT-1","=",-5.300162274,"y"
752,"SK-UT-1B","=",-5.494850022,"y"
752,"ST8814","=",-5.790484985,"y"
752,"SW 1353","=",-6.042392713,"y"
752,"SW 684","=",-5.244887734,"y"
752,"SW 982","=",-6.041914151,"y"
752,"SYO-1","=",-7.995678626,"y"
752,"TC-32","=",-6.970616222,"y"
752,"TC-71","=",-6.336299075,"y"
752,"U-2 OS","=",-5.772113295,"y"
752,"VA-ES-BJ","=",-5.721246399,"y"
755,"A-204","=",-5.025028006,"y"
755,"A-673","=",-5.619788758,"y"
755,"A549/ATCC",">",-5,"y"
755,"ASPS-1",">",-5,"y"
755,"CHLA-10",">",-5,"y"
755,"CHLA-25","=",-6.065501549,"y"
755,"CHLA-258","=",-5.931814138,"y"
755,"CHLA-32","=",-6.030118356,"y"
755,"CHP-100","=",-5.777283529,"y"
755,"COG-E-352","=",-6.118615343,"y"
755,"DDLS",">",-5,"y"
755,"ES-1","=",-5.310691141,"y"
755,"ES-2",">",-5,"y"
755,"ES-3","=",-6.133122186,"y"
755,"ES-4","=",-5.48148606,"y"
755,"ES-6",">",-5,"y"
755,"ES-7","=",-5.166215625,"y"
755,"ES-8","=",-5.165579296,"y"
755,"EW8",">",-5,"y"
755,"G-401","=",-5.742321425,"y"
755,"HOS",">",-5,"y"
755,"HSSY-II","=",-6.27083521,"y"
755,"HT-1080","=",-5.659555885,"y"
755,"Hs 132.T",">",-5,"y"
755,"Hs 706.T",">",-5,"y"
755,"Hs 729",">",-5,"y"
755,"Hs 913.T",">",-5,"y"
755,"Hu09","=",-5.677780705,"y"
755,"KHOS NP","=",-5.289036881,"y"
755,"KHOS-240S","=",-5.369572125,"y"
755,"KHOS-312H","=",-5.287350298,"y"
755,"LS141",">",-5,"y"
755,"MES-SA","=",-5.428291168,"y"
755,"MES-SA Dx5","=",-5.679853714,"y"
755,"MHM-25",">",-5,"y"
755,"MHM-8",">",-5,"y"
755,"MPNST","=",-5.434152181,"y"
755,"OHS","=",-5.440093375,"y"
755,"RD",">",-5,"y"
755,"RD-ES",">",-5,"y"
755,"Rh18",">",-5,"y"
755,"Rh28",">",-5,"y"
755,"Rh30","=",-5.210419288,"y"
755,"Rh36",">",-5,"y"
755,"Rh41",">",-5,"y"
755,"SAOS-2",">",-5,"y"
755,"SJCRH30(RMS 13)",">",-5,"y"
755,"SJSA-1",">",-5,"y"
755,"SK-ES-1",">",-5,"y"
755,"SK-LMS-1","=",-5.754487332,"y"
755,"SK-N-MC","=",-5.341035157,"y"
755,"SK-UT-1","=",-5.196542884,"y"
755,"SK-UT-1B","=",-5.211831629,"y"
755,"ST8814",">",-5,"y"
755,"SW 1353","=",-5.427128398,"y"
755,"SW 684",">",-5,"y"
755,"SW 982","=",-5.218244625,"y"
755,"SYO-1","=",-7.669586227,"y"
755,"TC-32","=",-6.259637311,"y"
755,"TC-71","=",-5.744727495,"y"
755,"U-2 OS","=",-5.104577454,"y"
755,"VA-ES-BJ","=",-5.578396073,"y"
762,"A-204","=",-6.272458743,"y"
762,"A-673","=",-6.389339837,"y"
762,"A549/ATCC","=",-5.2882524388,"y"
762,"A549/ATCC",">",-5,"no"
762,"ASPS-1",">",-5,"y"
762,"CHLA-10","=",-6.66756154,"y"
762,"CHLA-25","=",-5.935542011,"y"
762,"CHLA-258","=",-5.958607315,"y"
762,"CHLA-32","=",-6.394694954,"y"
762,"CHP-100","=",-6.329754147,"y"
762,"COG-E-352","=",-6.375717904,"y"
762,"DDLS","=",-5.714442691,"y"
762,"ES-1","=",-6.744727495,"y"
762,"ES-2","=",-6.563837353,"y"
762,"ES-3","=",-6.675717545,"y"
762,"ES-4","=",-6.725842151,"y"
762,"ES-6","=",-6.283996656,"y"
762,"ES-7","=",-6.679853714,"y"
762,"ES-8","=",-6.590066877,"y"
762,"EW8","=",-6.671620397,"y"
762,"G-401","=",-6.903089987,"y"
762,"HOS","=",-5.987162775,"y"
762,"HSSY-II","=",-6.954677021,"y"
762,"HT-1080","=",-5.041914151,"y"
762,"Hs 132.T",">",-5,"y"
762,"Hs 706.T",">",-5,"y"
762,"Hs 729","=",-5.735182177,"y"
762,"Hs 913.T","=",-5.823908741,"y"
762,"Hu09","=",-6.04383157,"y"
762,"KHOS NP","=",-5.53165267,"y"
762,"KHOS-240S","=",-5.576754126,"y"
762,"KHOS-312H","=",-5.512861625,"y"
762,"LS141","=",-5.539102157,"y"
762,"MES-SA","=",-5.326058001,"y"
762,"MES-SA Dx5","=",-6.08249449,"y"
762,"MHM-25","=",-5.342944147,"y"
762,"MHM-8","=",-5.53165267,"y"
762,"MPNST","=",-5.180456064,"y"
762,"OHS","=",-6.643974143,"y"
762,"RD","=",-5.948847531,"y"
762,"RD-ES","=",-6.549750892,"y"
762,"Rh18",">",-5,"y"
762,"Rh28","=",-5.129596095,"y"
762,"Rh30","=",-6.514278574,"y"
762,"Rh36","=",-6.137868621,"y"
762,"Rh41","=",-6.084600165,"y"
762,"SAOS-2","=",-6.057991947,"y"
762,"SJCRH30(RMS 13)","=",-6.543633967,"y"
762,"SJSA-1",">",-5,"y"
762,"SK-ES-1","=",-6.869666232,"y"
762,"SK-LMS-1","=",-5.779891912,"y"
762,"SK-N-MC","=",-6.665546249,"y"
762,"SK-UT-1","=",-6.630784143,"y"
762,"SK-UT-1B","=",-6.388276692,"y"
762,"ST8814","=",-5.488116639,"y"
762,"SW 1353","=",-5.338187314,"y"
762,"SW 684","=",-5.024568191,"y"
762,"SW 982","=",-6.13667714,"y"
762,"SYO-1","=",-6.735182177,"y"
762,"TC-32","=",-7.156767222,"y"
762,"TC-71","=",-6.815308569,"y"
762,"U-2 OS","=",-5.045757491,"y"
762,"VA-ES-BJ","=",-6.562249437,"y"
1390,"A-204",">",-5,"y"
1390,"A-673",">",-5,"y"
1390,"A549/ATCC",">",-5,"y"
1390,"ASPS-1",">",-5,"y"
1390,"CHLA-10",">",-5,"y"
1390,"CHLA-25",">",-5,"y"
1390,"CHLA-258",">",-5,"y"
1390,"CHLA-32",">",-5,"y"
1390,"CHP-100",">",-5,"y"
1390,"COG-E-352",">",-5,"y"
1390,"DDLS",">",-5,"y"
1390,"ES-1",">",-5,"y"
1390,"ES-2",">",-5,"y"
1390,"ES-3",">",-5,"y"
1390,"ES-4",">",-5,"y"
1390,"ES-6",">",-5,"y"
1390,"ES-7",">",-5,"y"
1390,"ES-8",">",-5,"y"
1390,"EW8",">",-5,"y"
1390,"G-401",">",-5,"y"
1390,"HOS",">",-5,"y"
1390,"HSSY-II",">",-5,"y"
1390,"HT-1080",">",-5,"y"
1390,"Hs 132.T",">",-5,"y"
1390,"Hs 706.T",">",-5,"y"
1390,"Hs 729",">",-5,"y"
1390,"Hs 913.T",">",-5,"y"
1390,"Hu09",">",-5,"y"
1390,"KHOS NP",">",-5,"y"
1390,"KHOS-240S",">",-5,"y"
1390,"KHOS-312H",">",-5,"y"
1390,"LS141",">",-5,"y"
1390,"MES-SA",">",-5,"y"
1390,"MES-SA Dx5",">",-5,"y"
1390,"MHM-25",">",-5,"y"
1390,"MHM-8",">",-5,"y"
1390,"MPNST",">",-5,"y"
1390,"OHS",">",-5,"y"
1390,"RD",">",-5,"y"
1390,"RD-ES",">",-5,"y"
1390,"Rh18",">",-5,"y"
1390,"Rh28",">",-5,"y"
1390,"Rh30",">",-5,"y"
1390,"Rh36",">",-5,"y"
1390,"Rh41",">",-5,"y"
1390,"SAOS-2",">",-5,"y"
1390,"SJCRH30(RMS 13)",">",-5,"y"
1390,"SJSA-1",">",-5,"y"
1390,"SK-ES-1",">",-5,"y"
1390,"SK-LMS-1",">",-5,"y"
1390,"SK-N-MC",">",-5,"y"
1390,"SK-UT-1",">",-5,"y"
1390,"SK-UT-1B",">",-5,"y"
1390,"ST8814",">",-5,"y"
1390,"SW 1353",">",-5,"y"
1390,"SW 684",">",-5,"y"
1390,"SW 982",">",-5,"y"
1390,"SYO-1",">",-5,"y"
1390,"TC-32",">",-5,"y"
1390,"TC-71",">",-5,"y"
1390,"U-2 OS",">",-5,"y"
1390,"VA-ES-BJ",">",-5,"y"
3053,"A-204","=",-9.168770306,"y"
3053,"A-673","=",-9.320572103,"y"
3053,"A549/ATCC","=",-8.54011171725,"y"
3053,"ASPS-1","=",-7.54515514,"y"
3053,"CHLA-10","=",-8.987162775,"y"
3053,"CHLA-25","=",-8.70333481,"y"
3053,"CHLA-258","=",-9.218963061,"y"
3053,"CHLA-32","=",-9.001740662,"y"
3053,"CHP-100","=",-9.341035157,"y"
3053,"COG-E-352","=",-8.906578315,"y"
3053,"DDLS","=",-9.404503778,"y"
3053,"ES-1","=",-9.785156152,"y"
3053,"ES-2","=",-9.086716098,"y"
3053,"ES-3","=",-9.122628654,"y"
3053,"ES-4","=",-9.777283529,"y"
3053,"ES-6","=",-9.438898616,"y"
3053,"ES-7","=",-9.332547047,"y"
3053,"ES-8","=",-9.494850022,"y"
3053,"EW8","=",-9.295849483,"y"
3053,"G-401","=",-9.818156412,"y"
3053,"HOS","=",-9.277366077,"y"
3053,"HSSY-II","=",-9.928117993,"y"
3053,"HT-1080","=",-9.046240308,"y"
3053,"Hs 132.T","=",-7.623423043,"y"
3053,"Hs 706.T","=",-8.496209317,"y"
3053,"Hs 729","=",-9.149966742,"y"
3053,"Hs 913.T","=",-9.395773947,"y"
3053,"Hu09","=",-8.742321425,"y"
3053,"KHOS NP","=",-8.709965389,"y"
3053,"KHOS-240S","=",-8.759450752,"y"
3053,"KHOS-312H","=",-8.759450752,"y"
3053,"LS141","=",-8.787812396,"y"
3053,"MES-SA","=",-9.8569852,"y"
3053,"MES-SA Dx5",">",-7,"y"
3053,"MHM-25","=",-9.552841969,"y"
3053,"MHM-8","=",-9.256490235,"y"
3053,"MPNST","=",-8.391473966,"y"
3053,"OHS","=",-9.332547047,"y"
3053,"RD","=",-9.37182182033333,"y"
3053,"RD-ES","=",-8.924453039,"y"
3053,"Rh18","=",-9.336299075,"y"
3053,"Rh28","=",-9.187755303,"y"
3053,"Rh30","=",-9.679853714,"y"
3053,"Rh36","=",-9.782516056,"y"
3053,"Rh41","=",-9.09420412,"y"
3053,"SAOS-2","=",-9.034328029,"y"
3053,"SJCRH30(RMS 13)","=",-9.539102157,"y"
3053,"SJSA-1","=",-8.974694135,"y"
3053,"SK-ES-1","=",-9.185086819,"y"
3053,"SK-LMS-1","=",-8.809668302,"y"
3053,"SK-N-MC","=",-9.467245621,"y"
3053,"SK-UT-1","=",-9.03574037,"y"
3053,"SK-UT-1B","=",-9.373659633,"y"
3053,"ST8814","=",-8.774690718,"y"
3053,"SW 1353","=",-9.166215625,"y"
3053,"SW 684","=",-8.76700389,"y"
3053,"SW 982","=",-9.649751982,"y"
3053,"SYO-1","=",-9.649751982,"y"
3053,"TC-32","=",-10.20273246,"y"
3053,"TC-71","=",-9.749579998,"y"
3053,"U-2 OS","=",-8.774690718,"y"
3053,"VA-ES-BJ","=",-9.469800302,"y"
3088,"A-204","=",-5.303643611,"y"
3088,"A-673","=",-5.252588192,"y"
3088,"A549/ATCC",">",-5,"y"
3088,"ASPS-1",">",-5,"y"
3088,"CHLA-10","=",-5.714442691,"y"
3088,"CHLA-25","=",-5.088309841,"y"
3088,"CHLA-258","=",-5.019542108,"y"
3088,"CHLA-32","=",-5.308918508,"y"
3088,"CHP-100",">",-5,"y"
3088,"COG-E-352","=",-5.350665141,"y"
3088,"DDLS","=",-5.169411331,"y"
3088,"ES-1","=",-7.759450752,"y"
3088,"ES-2","=",-5.444905551,"y"
3088,"ES-3","=",-5.302770657,"y"
3088,"ES-4","=",-5.634512015,"y"
3088,"ES-6","=",-5.288192771,"y"
3088,"ES-7","=",-5.732828272,"y"
3088,"ES-8","=",-5.472370099,"y"
3088,"G-401","=",-6.449771647,"y"
3088,"HOS","=",-5.453457337,"y"
3088,"HSSY-II","=",-5.576754126,"y"
3088,"HT-1080",">",-5,"y"
3088,"Hs 132.T",">",-5,"y"
3088,"Hs 706.T",">",-5,"y"
3088,"Hs 729",">",-5,"y"
3088,"Hs 913.T","=",-5.578396073,"y"
3088,"Hu09","=",-5.252588192,"y"
3088,"KHOS NP",">",-5,"y"
3088,"KHOS-240S",">",-5,"y"
3088,"KHOS-312H",">",-5,"y"
3088,"LS141","=",-5.294136288,"y"
3088,"MES-SA",">",-5,"y"
3088,"MES-SA Dx5",">",-5,"y"
3088,"MHM-25",">",-5,"y"
3088,"MHM-8",">",-5,"y"
3088,"MPNST",">",-5,"y"
3088,"OHS","=",-5.368556231,"y"
3088,"RD","=",-5.26273607866667,"y"
3088,"RD-ES","=",-5.40560745,"y"
3088,"Rh18",">",-5,"y"
3088,"Rh28",">",-5,"y"
3088,"Rh30","=",-5.621602099,"y"
3088,"Rh36","=",-5.698970004,"y"
3088,"Rh41","=",-5.721246399,"y"
3088,"SAOS-2",">",-5,"y"
3088,"SJCRH30(RMS 13)","=",-5.518557371,"y"
3088,"SJSA-1",">",-5,"y"
3088,"SK-ES-1","=",-5.655607726,"y"
3088,"SK-LMS-1",">",-5,"y"
3088,"SK-N-MC","=",-5.657577319,"y"
3088,"SK-UT-1","=",-5.537602002,"y"
3088,"SK-UT-1B","=",-5.387216143,"y"
3088,"ST8814",">",-5,"y"
3088,"SW 1353",">",-5,"y"
3088,"SW 684",">",-5,"y"
3088,"SW 982","=",-5.459670525,"y"
3088,"SYO-1","=",-5.469800302,"y"
3088,"TC-32","=",-6.154281982,"y"
3088,"TC-71","=",-5.804100348,"y"
3088,"U-2 OS",">",-5,"y"
3088,"VA-ES-BJ","=",-5.036684489,"y"
6396,"A-204","=",-5.139063379,"y"
6396,"A-673","=",-5.36251027,"y"
6396,"A549/ATCC",">",-5,"y"
6396,"ASPS-1",">",-5,"y"
6396,"CHLA-10","=",-5.692503962,"y"
6396,"CHLA-25","=",-5.673664139,"y"
6396,"CHLA-258","=",-5.643974143,"y"
6396,"CHLA-32","=",-6,"y"
6396,"CHP-100","=",-5.316052869,"y"
6396,"COG-E-352","=",-5.974694135,"y"
6396,"DDLS",">",-5,"y"
6396,"ES-1","=",-5.66756154,"y"
6396,"ES-2","=",-5.761953897,"y"
6396,"ES-3","=",-6.122053048,"y"
6396,"ES-4","=",-5.625251654,"y"
6396,"ES-6","=",-5.402304814,"y"
6396,"ES-7","=",-6.238072162,"y"
6396,"ES-8","=",-5.714442691,"y"
6396,"EW8","=",-6.034328029,"y"
6396,"G-401","=",-6.334419009,"y"
6396,"HOS","=",-5.515700161,"y"
6396,"HSSY-II","=",-6.13430394,"y"
6396,"HT-1080",">",-5,"y"
6396,"Hs 132.T",">",-5,"y"
6396,"Hs 706.T",">",-5,"y"
6396,"Hs 729",">",-5,"y"
6396,"Hs 913.T",">",-5,"y"
6396,"Hu09","=",-5.488116639,"y"
6396,"KHOS NP",">",-5,"y"
6396,"KHOS-240S",">",-5,"y"
6396,"KHOS-312H",">",-5,"y"
6396,"LS141","=",-5.214670165,"y"
6396,"MES-SA",">",-5,"y"
6396,"MES-SA Dx5","=",-5.276544328,"y"
6396,"MHM-25",">",-5,"y"
6396,"MHM-8","=",-5.086186148,"y"
6396,"MPNST",">",-5,"y"
6396,"OHS","=",-5.627087997,"y"
6396,"RD",">",-5,"y"
6396,"RD-ES","=",-5.798602876,"y"
6396,"Rh18",">",-5,"y"
6396,"Rh28",">",-5,"y"
6396,"Rh30","=",-5.316052869,"y"
6396,"Rh36","=",-5.308918508,"y"
6396,"Rh41",">",-5,"y"
6396,"SAOS-2","=",-5.129011186,"y"
6396,"SJCRH30(RMS 13)","=",-5.36251027,"y"
6396,"SJSA-1",">",-5,"y"
6396,"SK-ES-1","=",-6.179798541,"y"
6396,"SK-LMS-1",">",-5,"y"
6396,"SK-N-MC","=",-6.051098239,"y"
6396,"SK-UT-1","=",-5.54668166,"y"
6396,"SK-UT-1B","=",-6.021363052,"y"
6396,"ST8814","=",-5.061480275,"y"
6396,"SW 1353",">",-5,"y"
6396,"SW 684",">",-5,"y"
6396,"SW 982","=",-5.477555766,"y"
6396,"SYO-1","=",-6.586700236,"y"
6396,"TC-32","=",-6.334419009,"y"
6396,"TC-71","=",-6.014573526,"y"
6396,"U-2 OS",">",-5,"y"
6396,"VA-ES-BJ","=",-5.279014256,"y"
8806,"A-204","=",-5.142064735,"y"
8806,"A-673","=",-5.314258261,"y"
8806,"A549/ATCC",">",-5,"y"
8806,"ASPS-1",">",-5,"y"
8806,"CHLA-10","=",-5.602059991,"y"
8806,"CHLA-25","=",-5.395773947,"y"
8806,"CHLA-258","=",-5.110138279,"y"
8806,"CHLA-32","=",-5.396855627,"y"
8806,"CHP-100","=",-5.086186148,"y"
8806,"COG-E-352","=",-5.293282218,"y"
8806,"DDLS","=",-5.297569464,"y"
8806,"ES-1","=",-5.649751982,"y"
8806,"ES-2","=",-5.311580178,"y"
8806,"ES-3","=",-5.684029655,"y"
8806,"ES-4","=",-5.463441557,"y"
8806,"ES-6","=",-5.412289035,"y"
8806,"ES-7","=",-5.73754891,"y"
8806,"ES-8","=",-5.353596274,"y"
8806,"EW8","=",-5.416801226,"y"
8806,"G-401","=",-6.326058001,"y"
8806,"HOS","=",-5.684029655,"y"
8806,"HSSY-II","=",-6.548213564,"y"
8806,"HT-1080",">",-5,"y"
8806,"Hs 132.T",">",-5,"y"
8806,"Hs 706.T",">",-5,"y"
8806,"Hs 729",">",-5,"y"
8806,"Hs 913.T","=",-5.241845378,"y"
8806,"Hu09","=",-5.27083521,"y"
8806,"KHOS NP",">",-5,"y"
8806,"KHOS-240S",">",-5,"y"
8806,"KHOS-312H",">",-5,"y"
8806,"LS141","=",-5.171340103,"y"
8806,"MES-SA",">",-5,"y"
8806,"MES-SA Dx5",">",-5,"y"
8806,"MHM-25",">",-5,"y"
8806,"MHM-8",">",-5,"y"
8806,"MPNST",">",-5,"y"
8806,"OHS","=",-5.472370099,"y"
8806,"RD","=",-5.378823718,"y"
8806,"RD",">",-5,"no"
8806,"RD-ES","=",-5.581698709,"y"
8806,"Rh18",">",-5,"y"
8806,"Rh28",">",-5,"y"
8806,"Rh30","=",-5.459670525,"y"
8806,"Rh36","=",-5.522878745,"y"
8806,"Rh41",">",-5,"y"
8806,"SAOS-2",">",-5,"y"
8806,"SJCRH30(RMS 13)","=",-5.521433504,"y"
8806,"SJSA-1",">",-5,"y"
8806,"SK-ES-1","=",-5.823908741,"y"
8806,"SK-LMS-1",">",-5,"y"
8806,"SK-N-MC","=",-5.754487332,"y"
8806,"SK-UT-1","=",-5.419075024,"y"
8806,"SK-UT-1B","=",-5.485452247,"y"
8806,"ST8814",">",-5,"y"
8806,"SW 1353","=",-5.205511953,"y"
8806,"SW 684",">",-5,"y"
8806,"SW 982","=",-5.037630664,"y"
8806,"SYO-1","=",-5.943095149,"y"
8806,"TC-32","=",-6.3400838,"y"
8806,"TC-71","=",-5.739928612,"y"
8806,"U-2 OS",">",-5,"y"
8806,"VA-ES-BJ","=",-5.321481621,"y"
9706,"A-204","=",-6.363512104,"y"
9706,"A-673","=",-6.428291168,"y"
9706,"A549/ATCC","=",-5.5788699576,"y"
9706,"A549/ATCC",">",-5,"no"
9706,"ASPS-1",">",-5,"y"
9706,"CHLA-10","=",-6.522878745,"y"
9706,"CHLA-25","=",-6.53165267,"y"
9706,"CHLA-258","=",-6.311580178,"y"
9706,"CHLA-32","=",-6.638272164,"y"
9706,"CHP-100","=",-6.298432015,"y"
9706,"COG-E-352","=",-6.671620397,"y"
9706,"DDLS","=",-6.218244625,"y"
9706,"ES-1","=",-6.876148359,"y"
9706,"ES-2","=",-6.649751982,"y"
9706,"ES-3","=",-6.742321425,"y"
9706,"ES-4","=",-6.71219827,"y"
9706,"ES-6","=",-6.54515514,"y"
9706,"ES-7","=",-6.946921557,"y"
9706,"ES-8","=",-6.492144128,"y"
9706,"EW8","=",-6.725842151,"y"
9706,"G-401","=",-7.349692477,"y"
9706,"HOS","=",-6.638272164,"y"
9706,"HSSY-II","=",-7.369572125,"y"
9706,"HT-1080","=",-5.595166283,"y"
9706,"Hs 132.T",">",-5,"y"
9706,"Hs 706.T",">",-5,"y"
9706,"Hs 729","=",-5.782516056,"y"
9706,"Hs 913.T","=",-6.254925208,"y"
9706,"Hu09","=",-6.288192771,"y"
9706,"KHOS NP","=",-5.317854924,"y"
9706,"KHOS-240S","=",-5.571865206,"y"
9706,"KHOS-312H","=",-5.769551079,"y"
9706,"LS141","=",-6.384049948,"y"
9706,"MES-SA","=",-6.623423043,"y"
9706,"MES-SA Dx5","=",-6.156767222,"y"
9706,"MHM-25","=",-5.954677021,"y"
9706,"MHM-8","=",-5.966576245,"y"
