"nsc","cell_line","flag_ic50","mean","OK"
740,"A-204","=",-7.386158178,"y"
740,"A-673","=",-8.110138279,"y"
740,"A549/ATCC","=",-7.37323185,"y"
740,"ASPS-1",">",-5,"y"
740,"CHLA-10","=",-8.010550182,"y"
740,"CHLA-25","=",-7.928117993,"y"
740,"CHLA-258","=",-7.844663963,"y"
740,"CHLA-32","=",-7.68613278,"y"
740,"CHP-100","=",-8.404503778,"y"
740,"COG-E-352","=",-8.026410377,"y"
740,"DDLS",">",-5,"y"
740,"ES-1","=",-8.493494968,"y"
740,"ES-2","=",-8.059981845,"y"
740,"ES-3","=",-8.097997109,"y"
740,"ES-4","=",-6.928117993,"y"
740,"ES-6","=",-7.485452247,"y"
740,"ES-7","=",-8.130181792,"y"
740,"ES-8","=",-8.1837587,"y"
740,"EW8","=",-8.549750892,"y"
740,"G-401","=",-7.496209317,"y"
740,"HOS","=",-8.171984936,"y"
740,"HSSY-II","=",-8.230622674,"y"
740,"HT-1080","=",-8.003488328,"y"
740,"Hs 132.T",">",-5,"y"
740,"Hs 706.T",">",-5,"y"
740,"Hs 729",">",-5,"y"
740,"Hs 913.T",">",-5,"y"
740,"Hu09","=",-6.061980903,"y"
740,"KHOS NP","=",-8.038104526,"y"
740,"KHOS-240S","=",-7.974694135,"y"
740,"KHOS-312H","=",-7.995678626,"y"
740,"LS141","=",-7.394694954,"y"
740,"MES-SA","=",-8.386158178,"y"
740,"MES-SA Dx5","=",-8.311580178,"y"
740,"MHM-25","=",-6.730487056,"y"
740,"MHM-8","=",-7.007004902,"y"
740,"MPNST","=",-7.379863945,"y"
740,"OHS","=",-8.512861625,"y"
740,"RD","=",-7.92992176533333,"y"
740,"RD-ES","=",-8.276544328,"y"
740,"Rh18",">",-5,"y"
740,"Rh28",">",-5,"y"
740,"Rh30","=",-7.669586227,"y"
740,"Rh36","=",-7.931814138,"y"
740,"Rh41","=",-7.661543506,"y"
740,"SAOS-2","=",-7.882728704,"y"
740,"SJCRH30(RMS 13)","=",-7.657577319,"y"
740,"SJSA-1","=",-7.54668166,"y"
740,"SK-ES-1",">",-5,"y"
740,"SK-LMS-1","=",-7.73754891,"y"
740,"SK-N-MC","=",-8.632644079,"y"
740,"SK-UT-1","=",-7.863279433,"y"
740,"SK-UT-1B","=",-8.031984286,"y"
740,"ST8814","=",-7.276544328,"y"
740,"SW 1353","=",-7.987162775,"y"
740,"SW 684",">",-5,"y"
740,"SW 982","=",-7.384049948,"y"
740,"SYO-1","=",-7.931814138,"y"
740,"TC-32","=",-8.016373713,"y"
740,"TC-71","=",-8.139661993,"y"
740,"U-2 OS","=",-7.411168274,"y"
740,"VA-ES-BJ","=",-7.826813732,"y"
750,"A-204",">",-5,"y"
750,"A-673",">",-5,"y"
750,"A549/ATCC",">",-5,"y"
750,"ASPS-1",">",-5,"y"
750,"CHLA-10",">",-5,"y"
750,"CHLA-25",">",-5,"y"
750,"CHLA-258",">",-5,"y"
750,"CHLA-32",">",-5,"y"
750,"CHP-100",">",-5,"y"
750,"COG-E-352",">",-5,"y"
750,"DDLS",">",-5,"y"
750,"ES-1",">",-5,"y"
750,"ES-2",">",-5,"y"
750,"ES-3",">",-5,"y"
750,"ES-4",">",-5,"y"
750,"ES-6",">",-5,"y"
750,"ES-7",">",-5,"y"
750,"ES-8",">",-5,"y"
750,"EW8",">",-5,"y"
750,"G-401",">",-5,"y"
750,"HOS",">",-5,"y"
750,"HSSY-II",">",-5,"y"
750,"HT-1080",">",-5,"y"
750,"Hs 132.T",">",-5,"y"
750,"Hs 706.T",">",-5,"y"
750,"Hs 729",">",-5,"y"
750,"Hs 913.T",">",-5,"y"
750,"Hu09",">",-5,"y"
750,"KHOS NP",">",-5,"y"
750,"KHOS-240S",">",-5,"y"
750,"KHOS-312H",">",-5,"y"
750,"LS141",">",-5,"y"
750,"MES-SA",">",-5,"y"
750,"MES-SA Dx5",">",-5,"y"
750,"MHM-25",">",-5,"y"
750,"MHM-8",">",-5,"y"
750,"MPNST",">",-5,"y"
750,"OHS",">",-5,"y"
750,"RD",">",-5,"y"
750,"RD-ES",">",-5,"y"
750,"Rh18",">",-5,"y"
750,"Rh28",">",-5,"y"
750,"Rh30",">",-5,"y"
750,"Rh36",">",-5,"y"
750,"Rh41",">",-5,"y"
750,"SAOS-2",">",-5,"y"
750,"SJCRH30(RMS 13)",">",-5,"y"
750,"SJSA-1",">",-5,"y"
750,"SK-ES-1",">",-5,"y"
750,"SK-LMS-1",">",-5,"y"
750,"SK-N-MC",">",-5,"y"
750,"SK-UT-1",">",-5,"y"
750,"SK-UT-1B",">",-5,"y"
750,"ST8814",">",-5,"y"
750,"SW 1353",">",-5,"y"
750,"SW 684",">",-5,"y"
750,"SW 982",">",-5,"y"
750,"SYO-1",">",-5,"y"
750,"TC-32","=",-5.35753548,"y"
750,"TC-71",">",-5,"y"
750,"VA-ES-BJ",">",-5,"y"
752,"A-204","=",-5.663540266,"y"
752,"A-673","=",-6.215382707,"y"
752,"A549/ATCC","=",-5.179162549125,"y"
752,"ASPS-1",">",-5,"y"
752,"CHLA-10","=",-5.469800302,"y"
752,"CHLA-25","=",-6.476253533,"y"
752,"CHLA-258","=",-6.110138279,"y"
752,"CHLA-32","=",-6.500312917,"y"
752,"CHP-100","=",-6.537602002,"y"
752,"COG-E-352","=",-6.191789027,"y"
752,"DDLS","=",-5.449771647,"y"
752,"ES-1","=",-6.192464972,"y"
752,"ES-2","=",-6.024108864,"y"
752,"ES-3","=",-6.798602876,"y"
