"nsc"	"nb.eq2"	"nb.more2"	"nb.less2"	"sd2"	"range"
755764	4	57	2	0.744155277926422	3.818156412
755765	4	59	0	0.336564878398315	2.392544977
755766	12	51	0	0.246627554350078	1.381951903
755767	3	60	0	0.141739679250449	1.057991947
755768	4	58	1	0.481890169392911	3.818156412
755769	21	42	0	0.141343588736634	0.59345982
755770	21	38	4	1.09860302834811	3.818156412
755771	0	63	0	0	0
755772	1	62	0	0.0552960280336398	0.438898616
755773	3	60	0	0.0526813899040569	0.415668776
755774	40	0	23	0.564013788873986	2.228089535
755775	62	1	0	0.460417031588263	3.236572006
755926	0	63	0	0	0
755927	52	10	1	0.488341567014069	3.818156412
755980	16	46	1	0.79834695061146	3.818156412
755981	55	8	0	0.152987121048384	0.754487332
755982	1	62	0	0.175444176124484	1.392544977
755983	56	0	7	0.534839332015812	2.63373416
755984	0	62	1	0.481042492042794	3.818156412
755986	0	61	2	0.674788249419539	3.818156412
756641	47	11	1	0.549963958900694	3.818156412
756642	62	0	1	0.59413653576373	3.585312278
756643	61	2	0	0.502428666955027	3.208309351
756644	19	43	1	0.539911936809767	3.818156412
756645	59	2	0	0.417396128665787	1.630784143
756646	3	60	0	0.298815519286047	1.844663963
756647	31	31	1	0.730255232179186	3.818156412
756648	9	54	0	0.0815093442805197	0.462180905
756649	1	61	1	0.480982883010633	3.818156412
756650	0	58	4	0.945664194251076	3.818156412
756651	0	63	0	0	0
756652	35	27	1	1.01437660340814	3.818156412
756653	1	62	0	0.0253676342844409	0.201349355
756654	2	60	1	0.508100808101204	3.818156412
756656	40	22	1	0.845839766813946	3.818156412
756657	61	2	0	0.440344202701473	2.045275209
756658	63	0	0	0.293246035706486	1.698970004
756659	59	3	1	0.579103975534031	3.818156412
756660	11	52	0	0.313746710577501	1.48148606
756661	15	48	0	0.499947941151689	2.232102384
756662	39	23	1	0.754736751229827	3.818156412
756663	63	0	0	0.434853076934827	2.504487439
756874	22	41	0	0.244979354841764	1.196542884
756875	22	40	1	0.548229576441918	3.818156412
756876	24	39	0	0.357686280109541	1.297569464
756877	3	60	0	0.220830497200118	1.35261703
756878	59	3	0	0.160559861990055	0.774690718
756879	22	39	2	0.785580553534673	3.818156412
757148	61	1	1	0.686187522397195	3.818156412
757149	55	0	8	0.591027108423054	3.005677133
757333	62	1	0	0.423196618253106	1.935542011
757334	27	32	4	1.5056869193426	3.818156412
757437	62	0	1	0.537066592161741	3.591942857
757438	10	53	0	0.263366518526743	1.928117993
757439	62	1	0	0.429465661531653	1.987162775
757440	11	20	32	1.74426921500163	3.818156412
757441	46	16	1	0.758359655650654	3.818156412
757443	0	63	0	0	0
757444	39	24	0	1.47525326056507	3.774690718
758005	14	49	0	0.516072789314141	3.01278077
758006	3	60	0	0.114179029430344	0.698970004
758007	48	14	1	0.649536255959351	3.818156412
758242	62	1	0	0.317538654760095	2.024108864
758243	60	3	0	0.844849849152656	2.879426069
758244	62	1	0	0.097847773729851	0.655607726
758245	61	1	1	0.509399541469265	3.818156412
758246	32	31	0	1.08219627141201	3.21395879
758247	41	22	0	0.855759108044151	2.793174124
758248	13	49	1	0.640324843743118	3.818156412
758249	63	0	0	0.467642850277675	1.961867988
758250	39	18	6	1.52183236677177	3.818156412
758251	60	3	0	0.34205609965143	1.467245621
758252	62	0	1	0.447917821347035	2.382822476
758253	58	0	5	0.552303755525444	2.50120345
758254	63	0	0	0.286829246605913	1.561772717
758255	61	1	1	0.807715295267107	3.818156412
758256	60	2	1	0.812417771331639	3.818156412
758257	51	1	11	0.720286713847567	3.818156412
758484	2	61	0	0.277261110622509	2.122628654
758485	53	9	1	0.608298153781601	3.818156412
758486	6	54	3	0.839760541075532	3.818156412
758487	61	0	2	0.697404028601562	3.404743717
758488	62	1	0	0.317896555514341	2.40560745
758489	61	2	0	0.432197292317125	2.602059991
758490	29	34	0	0.319481708145211	1.860120914
758591	4	59	0	0.297567917862683	2.073657553
758773	3	1	59	0.481293922338352	3.818156412
758774	62	0	1	0.463950674285196	3.144492273
758871	57	0	6	0.600035548122605	2.262201208
758872	15	46	1	0.577121842531426	3.818156412
758873	28	35	0	0.548498290498726	2.004364805
759094	61	2	0	0.387079058957726	1.554395797
759095	1	61	1	0.487416779697406	3.818156412
759096	60	3	0	0.336873719323342	1.655607726
759224	3	59	1	0.630044070967735	3.818156412
759498	55	7	1	0.69229762201615	3.818156412
759657	57	0	6	0.528260172973095	2.438292467
759658	27	36	0	0.632181712093689	3.337242168
759659	33	26	4	1.0365617025226	3.818156412
759660	62	0	1	0.705478286014573	3.801331484
759661	60	2	1	0.618042615851481	3.818156412
759674	63	0	0	0.327312065365796	1.463944449
759675	56	7	0	0.488371238008157	1.602059991
759676	63	0	0	0.487657745589138	2.395520534
759677	54	9	0	0.983355010534638	3.101823517
759905	63	0	0	0.319861337452587	2.057200642
760143	63	0	0	0.399008082141661	1.618076177
760144	61	1	1	1.00357666381897	3.818156412
760442	47	1	15	0.646522175998605	3.818156412
760443	63	0	0	0.660136174752817	2.830464254
760444	42	21	0	0.905013271520139	2.8569852
760536	62	0	1	0.608966908755689	3.602059991
760764	62	0	1	0.609616239785984	3.498491925
760765	26	37	0	0.540685354114299	2.910094889
760766	54	10	0	0.415154725480535	1.635223232
760841	16	47	0	0.388208888376138	2.062482108
760842	62	1	0	0.373962372905319	2.194499142
760843	13	50	0	0.427657890961876	2.4225082
761068	56	7	0	0.532689869134934	3.049148541
761069	44	12	7	1.46912859331955	3.818156412
761070	42	21	0	0.529075397445103	2.051098239
761188	60	3	0	0.519723891929644	2.351639989
761189	49	1	13	0.595732385791183	3.818156412
761190	60	0	3	0.381065897076696	1.830993637
761191	59	4	0	0.43245043180762	1.749579998
761192	59	4	0	0.579101749258575	2.627087997
761193	40	23	0	0.22849900119109	0.801342913
761194	63	0	0	0.215406725610651	1.02447377
761215	24	38	1	0.892980723141359	3.818156412
761216	0	60	3	0.819641328394213	3.818156412
761217	4	59	0	0.161552176256729	1.186419011
761266	0	61	2	0.674788249419538	3.818156412
761385	12	51	0	0.188951709114031	1.35261703
761386	15	48	0	0.264083849240737	1.605548319
761387	26	37	0	0.360595343466927	1.600326279
761388	1	62	0	0.225918704263814	1.793174124
761389	6	57	0	0.315258048818705	1.879426069
761431	8	53	0	0.537434775623048	2.651695137
761432	59	2	0	0.611069348313013	2.665546249
761690	0	62	1	0.481042492042794	3.818156412
761691	61	0	2	0.736375735863077	3.630401109
761692	18	45	0	0.397768870203088	1.659555885
761693	54	9	0	0.558465144358115	2.234331445
761759	62	1	0	0.512473628967459	3.039053804
761760	57	6	0	0.638507864984995	2.121478204
761879	35	28	0	0.341448630787088	1.632644079
761910	11	52	0	0.364473634642055	2.428291168
761931	55	8	0	0.441012286644725	1.739928612
762151	58	2	3	0.91590192192891	3.818156412
762152	62	1	0	0.344953658893744	2.301899454
762153	63	0	0	0.540536615242319	2.606992095
762154	59	1	3	0.673899219542388	3.818156412
762381	15	48	0	0.358274778606901	2.105130343
762382	59	2	1	0.762302069176115	3.818156412
762418	63	0	0	0.515617642853514	2.451498601
762419	62	1	0	0.318993062441356	2.384049948
762521	26	37	0	0.750740832643596	3.005682847
762598	62	1	0	0.415616114691058	3.279840697
762672	1	62	0	0.0601663711429026	0.477555766
762673	61	0	2	0.470636672406591	2.734610361
762829	0	61	2	0.674788249419538	3.818156412
763094	0	63	0	0	0
763443	0	63	0	0	0
763444	60	3	0	0.637243552399551	2.798602876
763525	63	0	0	0.372522192771003	2.283189167
763526	59	4	0	0.306173174672056	1.518557371
763527	0	63	0	0	0
763564	58	5	0	0.628670634395949	2.534617149
763579	63	0	0	0.292285252381167	1.515808047
763758	0	62	0	0	0
763832	62	1	0	0.402125742227598	2.214670165
763929	1	62	0	0.049186481154057	0.390405591
763930	61	1	1	0.896922568047367	3.818156412
763931	0	62	0	0	0
763932	50	13	0	0.30569133656459	1.263603498
764036	62	0	0	0.265430146816869	1.627614096
764037	48	15	0	0.122304607219429	0.358525889
764039	28	35	0	0.552788230014878	2.247183569
764040	64	0	0	0.213775488478716	0.9749585035
764041	64	0	0	0.515396125271883	2.259132779
764042	12	52	0	0.41974917492536	2.124938737
764043	60	4	0	0.496264004350731	2.1887707155
764090	36	28	0	0.152485170966292	0.6893983525
764091	64	0	0	0.411262520933035	2.025236586
764092	60	0	4	0.552397729854204	2.350194383
764134	3	60	0	0.291661671550534	1.460923901
764135	1	62	0	0.0307568771334205	0.244125144
764136	62	0	0	0.412178925265305	2.016569102
764237	52	10	0	0.431634235758753	2.931814138
764239	48	15	0	0.530652208379473	2.473660723
764334	63	0	0	0.300984358033244	1.482179268
764481	17	46	0	0.235373663439662	1.287350298
764487	62	1	0	0.453747345815356	2.647817482
764488	0	63	0	0	0
764515	62	0	0	0.378492828472294	1.618048097
764516	62	1	0	0.411480705182403	1.801342913
764517	50	13	0	0.278768703492386	1.257274869
764579	0	63	0	0	0
764580	39	24	0	0.361299356111074	1.27572413
764581	2	61	0	0.253167042886478	1.991399828
764582	0	63	0	0	0
764608	60	3	0	0.563485130259201	2.809668302
764609	0	62	0	0	0
764658	62	0	0	0.467221156280551	2.148492622
764659	50	13	0	0.630974316543207	2.190440285
764755	3	59	1	0.481099493359289	3.818156412
764756	0	63	0	0	0
764757	1	62	0	0.0195940340713556	0.155522824
764764	34	29	0	0.20374969354616	0.752026734
764765	21	42	0	0.181687791171862	1.145086978
764820	59	4	0	0.371075725486216	1.478861916
764821	62	1	0	0.286476031379627	1.396855627
764823	43	20	0	0.184735618802233	0.752026734
765262	63	0	0	0.291903650547629	1.408447646
765395	63	0	0	0.241948801263663	1.349050284
765396	49	14	0	1.06923833452236	3.436518915
765435	63	0	0	0.264919065245325	1.292429824
765436	60	3	0	0.292964237729631	1.283162277
765632	5	58	0	0.0891932778467696	0.493494968
765672	0	63	0	0	0
765673	1	62	0	0.0513808990404697	0.407823243
765694	50	13	0	0.322718140572485	1.28567024
765695	33	30	0	0.336949450716855	1.896196279
765775	50	5	8	0.9881898653928	3.818156412
765776	10	53	0	0.139846163705206	0.655607726
765865	46	17	0	0.297409249843113	1.017276612
765866	0	63	0	0	0
765888	62	0	1	0.459429519700094	3.584569259
765889	62	0	1	1.05130006333277	3.422382465
765898	2	61	0	0.117378304002412	0.692503962
765949	28	35	0	0.214364488500737	0.728158393
765974	36	27	0	0.487969099597088	1.671620397
766118	6	57	0	0.0994080715875066	0.610833916
766255	59	4	0	0.76531716247157	2.723538196
766270	15	48	0	0.108787507104481	0.638272164
766271	60	3	0	0.227803699439333	1.04431225
766288	7	56	0	0.0773496558695866	0.542118103
766811	0	63	0	0	0
766819	0	63	0	0	0
766820	2	61	0	0.0427233813310573	0.297569464
766821	5	58	0	0.195776065930995	1.176525771
766824	62	1	0	0.376433029465172	1.962573502
766887	17	46	0	0.241439520651859	1.41453927
766888	0	63	0	0	0
766906	0	63	0	0	0
766907	63	0	0	0.283577146221189	1.2428671
766908	43	20	0	0.541026061875132	2.140861703
766991	33	30	0	0.703584392858215	2.835647144
766992	60	3	0	0.381950353900453	1.739928612
767006	59	4	0	0.65379490416527	2.036212173
767048	61	2	0	0.466275120353683	2.581698709
767123	7	56	0	0.0775910496605242	0.355561411
767124	28	35	0	0.240109070174997	1.185086819
767125	52	10	1	1.16800876225339	3.818156412
767126	0	63	0	0	0
767128	2	61	0	0.294587866665904	2.242603971
767189	63	0	0	0.483954847569054	2.898261463
767470	60	2	1	0.705151903388029	3.818156412
767533	3	60	0	0.0976664458363704	0.759450752
767598	57	6	0	0.341041120708423	1.417936637
767599	48	15	0	0.468564070625307	1.528708289
767600	63	0	0	0.267779901040258	1.373214402
767601	63	0	0	0.39867244332005	2.163608564
767745	53	10	0	0.94742700701827	3.111820506
767746	59	4	0	0.491954736783379	1.617982957
767896	0	63	0	0	0
767897	42	21	0	0.378801213098929	1.524328812
767898	29	34	0	0.631651043382439	2.204119983
767951	26	37	0	1.00712975522759	2.560667306
767952	58	5	0	0.251913540749403	0.879426069
767953	61	2	0	0.299805903809058	1.420216403
767954	2	61	0	0.0759574505162484	0.568636236
768011	0	63	0	0	0
768068	22	41	0	0.524194530920162	2.035269079
768069	25	38	0	0.199384256005442	0.815308569
768070	43	20	0	0.556352614382825	1.966576245
768071	3	60	0	0.0931388737908335	0.70333481
768100	0	63	0	0	0
768112	51	0	12	0.455254185763214	2.16840443
774901	48	14	1	0.736330107539678	3.818156412
