"nsc"	"nb.eq2"	"nb.more2"	"nb.less2"	"sd2"	"range"
740	51	10	0	1.14887364605744	3.632644079
750	1	59	0	0.0461576319906092	0.35753548
752	51	10	0	0.608283656420796	2.995678626
755	35	26	0	0.486732935305914	2.669586227
762	56	5	0	0.631883318952777	2.156767222
1390	0	61	0	0	0
3053	60	1	0	0.554790901886437	3.20273246
3088	37	23	0	0.453571377730729	2.759450752
6396	39	22	0	0.456947430030562	1.586700236
8806	39	22	0	0.364838127600779	1.548213564
9706	58	3	0	0.570291492351383	2.369572125
13875	0	60	0	0	0
14229	61	0	0	0.26483331469889	1.094541002
16895	0	63	0	0	0
18509	0	61	0	0	0
19893	36	25	0	0.260639175634306	0.906578315
24559	60	1	0	0.564624199290026	3.721246399
25154	45	16	0	0.518441319878616	2.056505484
26271	0	61	0	0	0
26980	60	0	0	0.562456781535076	2.621602099
27640	54	6	0	0.975400650431315	3.562249437
28841	1	62	0	0.282445968954647	2.241845378
32065	0	61	0	0	0
34462	47	14	0	0.47661175518459	1.645891561
36405	63	0	0	0.309100199795339	1.416736495
38721	61	0	0	0.180387226030536	1.018885344
45388	0	60	0	0	0
45923	0	60	0	0	0
49842	59	2	0	0.40878431155773	2.328827157
62343	0	62	1	0.481042492042794	3.818156412
63878	56	5	0	0.838352562674738	3.314258261
66847	0	61	0	0	0
67574	17	1	43	0.713320735762669	3.818156412
71423	0	61	0	0	0
77213	0	61	0	0	0
79037	8	52	0	0.0598316713868654	0.297569464
82151	57	0	4	0.520356022735007	2.637041827
85998	0	61	0	0	0
92859	0	60	0	0	0
95100	61	0	2	0.455458097869784	2.890038419
102816	10	51	0	0.235832846649394	1.200659451
105014	57	4	0	0.715115463824247	2.863279433
109724	0	60	0	0	0
119875	42	17	1	0.715008518207401	3.818156412
122758	8	51	1	0.878625549982001	3.818156412
122819	59	0	2	0.658080538386292	3.689729348
123127	64	0	0	0.602806146204588	3.14788543322222
125066	53	4	4	0.92527871222711	3.818156412
125973	44	1	16	0.721958326152158	3.818156412
127716	38	23	0	0.910989035818726	3.21395879
138783	7	52	2	0.685151802433318	3.818156412
141540	56	5	0	0.712960234814922	3.534617149
142784	0	63	0	0	0
169780	0	60	0	0	0
170984	10	51	2	0.708235508783799	3.818156412
180973	64	0	0	0.108522281992716	0.4872307375
218321	0	60	0	0	0
221019	19	43	1	0.72387570119702	3.818156412
226080	17	14	33	1.621024423922	3.818156412
241240	17	44	0	0.262390480020479	1.394694954
246131	61	0	0	0.599419861074263	2.903706445
266046	37	24	0	0.31626167290493	1.170696227
279836	48	0	13	0.623345102740623	2.650026186
296961	0	61	0	0	0
312887	27	34	0	0.297386493910796	1.172630727
330507	63	0	0	0.675854225536231	3.074902448
362856	0	60	0	0	0
369100	1	60	0	0.0415123294969904	0.324221658
409962	4	57	0	0.0746977676200533	0.493494968
606869	60	1	0	0.592917560475657	3.348721986
608210	59	2	0	0.655989088244817	3.588380294
609699	63	1	0	0.63270289857629	3.58808478871429
613327	58	2	0	0.538526809974281	3.07417243
616348	56	5	0	0.717201540501822	2.899629455
628503	58	3	0	0.546146564008209	2.539102157
633782	50	13	0	0.420526168547187	1.752026734
637037	0	63	0	0	0
639186	47	15	1	1.31731856091467	3.818156412
639966	0	61	2	0.674788249419539	3.818156412
649890	62	0	1	0.438462116129917	3.8177219
673596	23	0	40	0.460705044141951	2.559308011
678515	0	63	0	0	0
679828	0	63	0	0	0
681239	60	0	1	0.265881441026077	1.475212265
686288	32	30	1	1.19828832765783	3.818156412
686673	0	61	0	0	0
698037	32	29	0	1.04048132325892	3.015472687
698215	9	54	0	0.210095903544187	0.920818754
701852	55	6	0	0.383283508863516	1.809668302
702294	0	61	0	0	0
703081	0	63	0	0	0
707545	62	0	1	0.472776762422617	2.637700348
710464	32	31	0	1.00006114829035	3.2644011
712807	1	60	0	0.0211189020638898	0.164943898
713563	1	59	1	0.492106478534933	3.818156412
715055	9	51	1	0.53830734386529	3.818156412
718781	19	42	0	0.277037295234353	1.310691141
719276	1	60	0	0.00825744843970219	0.0644927339999999
719344	1	60	0	0.265045360378918	2.07007044
719345	0	61	0	0	0
719627	2	59	0	0.048468735648484	0.312471039
721517	1	60	0	0.0121999243243064	0.0952844549999998
721782	0	63	0	0	0
722134	44	19	0	0.756309542042954	2.514278574
727859	63	0	0	0.472239449532243	3.674280856
732517	47	14	0	1.05713830543324	3.621602099
733504	33	12	16	1.42974361679608	3.818156412
737754	22	37	2	0.739420552370734	3.818156412
741078	9	53	1	0.569558920754545	3.818156412
743414	6	55	0	0.404259090388678	2.305394801
744009	0	61	2	0.674788249419539	3.818156412
745750	39	21	1	0.489577901546013	3.818156412
747599	55	6	0	0.419108780539555	2.427128398
747971	10	51	0	0.42621485219164	2.225483034
747972	1	60	0	0.0220204146008988	0.171984936
747973	56	0	5	0.483058073464548	2.526577312
747974	1	60	0	0.0516504491840295	0.403402904
750690	50	10	1	0.628021679986539	3.818156412
750691	61	0	2	0.696299801348886	3.66818967
751249	63	0	0	0.411574420653838	2.035912555
751549	47	16	0	0.391179068118538	1.320572103
752493	1	62	0	0.019359704161332	0.153662888
752840	1	62	0	0.0549962138888448	0.436518915
753686	32	31	0	0.491219467785972	2.588380294
754143	59	2	0	0.512977166446049	3.60906489
754230	13	13	35	1.58537493957404	3.818156412
754344	58	3	2	0.68408129779106	3.818156412
754345	21	41	1	0.588967251620273	3.818156412
754346	9	53	0	0.25050082093236	1.690369833
754347	0	62	1	0.481042492042794	3.818156412
754348	5	58	0	0.162775184172745	1.156767222
754349	27	36	0	0.476730287930144	2.496209317
754350	59	4	0	0.28613953437777	1.196542884
754351	1	62	0	0.0234865877505054	0.186419011
754352	63	0	0	0.45250771426472	2.539951478
754353	63	0	0	0.418180891684215	1.781321297
754354	60	1	2	0.544282055885589	3.818156412
754355	41	22	0	0.466728991703035	1.982966661
754356	59	3	1	0.501929242833463	3.818156412
754357	48	13	2	1.00291236075607	3.818156412
754358	61	2	0	0.354554326405782	1.563837353
754359	58	4	1	0.702670606033924	3.818156412
754360	22	39	2	0.710927907387365	3.818156412
754361	63	0	0	0.364782719691782	1.462309375
754362	44	19	0	0.348207771019464	1.978810701
754364	61	2	0	0.310612899273354	1.721246399
754365	63	0	0	0.373209951716226	1.832982229
754366	45	1	17	0.771160189834883	3.818156412
754367	63	0	0	0.370435126483892	1.551236755
754771	39	24	0	0.35062837033918	1.782516056
755385	60	2	1	0.674235426576918	3.818156412
755386	39	0	24	0.774888777689174	3.63373416
755387	42	1	20	0.631398644088208	3.818156412
755388	0	62	1	0.481042492042794	3.818156412
755389	63	0	0	0.379454960750904	1.647880237
755400	14	48	1	0.555381374757734	3.818156412
755401	0	63	0	0	0
755402	0	63	0	0	0
755403	0	63	0	0	0
755404	0	63	0	0	0
755605	3	60	0	0.183619023155697	1.193820026
755606	56	7	0	0.586182738502731	2.835647144
755761	0	63	0	0	0
755762	62	0	1	0.282913198003985	1.259065494
755763	25	38	0	0.675728238823555	2.935542011
