id,nsc,highest_tested_concentration,cell_line
1,740,1.00E-05,A-204
2,740,1.00E-05,A549/ATCC
3,740,1.00E-05,A549/ATCC
4,740,1.00E-05,A549/ATCC
5,740,1.00E-05,A549/ATCC
6,740,1.00E-05,A549/ATCC
7,740,1.00E-05,A549/ATCC
8,740,1.00E-05,A549/ATCC
9,740,1.00E-05,A549/ATCC
10,740,1.00E-05,A-673
11,740,1.00E-05,ASPS-1
12,740,1.00E-05,CHLA-10
13,740,1.00E-05,CHLA-25
14,740,1.00E-05,CHLA-258
15,740,1.00E-05,CHLA-32
16,740,1.00E-05,CHP-100
17,740,1.00E-05,COG-E-352
18,740,1.00E-05,DDLS
19,740,1.00E-05,ES-1
20,740,1.00E-05,ES-2
21,740,1.00E-05,ES-3
22,740,1.00E-05,ES-4
23,740,1.00E-05,ES-6
24,740,1.00E-05,ES-7
25,740,1.00E-05,ES-8
26,740,1.00E-05,EW8
27,740,1.00E-05,G-401
28,740,1.00E-05,HOS
29,740,1.00E-05,Hs 132.T
30,740,1.00E-05,Hs 706.T
31,740,1.00E-05,Hs 729
32,740,1.00E-05,Hs 913.T
33,740,1.00E-05,HSSY-II
34,740,1.00E-05,HT-1080
35,740,1.00E-05,Hu09
36,740,1.00E-05,KHOS-240S
37,740,1.00E-05,KHOS-312H
38,740,1.00E-05,KHOS NP
39,740,1.00E-05,LS141
40,740,1.00E-05,MES-SA
41,740,1.00E-05,MES-SA Dx5
42,740,1.00E-05,MHM-25
43,740,1.00E-05,MHM-8
44,740,1.00E-05,MPNST
45,740,1.00E-05,OHS
46,740,1.00E-05,RD
47,740,1.00E-05,RD
48,740,1.00E-05,RD
49,740,1.00E-05,RD-ES
50,740,1.00E-05,Rh18
51,740,1.00E-05,Rh28
52,740,1.00E-05,Rh30
53,740,1.00E-05,Rh36
54,740,1.00E-05,Rh41
55,740,1.00E-05,SAOS-2
56,740,1.00E-05,SJCRH30(RMS 13)
57,740,1.00E-05,SJSA-1
58,740,1.00E-05,SK-ES-1
59,740,1.00E-05,SK-LMS-1
60,740,1.00E-05,SK-N-MC
61,740,1.00E-05,SK-UT-1
62,740,1.00E-05,SK-UT-1B
63,740,1.00E-05,ST8814
64,740,1.00E-05,SW 1353
65,740,1.00E-05,SW 684
66,740,1.00E-05,SW 982
67,740,1.00E-05,SYO-1
68,740,1.00E-05,TC-32
69,740,1.00E-05,TC-71
70,740,1.00E-05,U-2 OS
71,740,1.00E-05,VA-ES-BJ
72,750,1.00E-05,A-204
73,750,1.00E-05,A549/ATCC
74,750,1.00E-05,A549/ATCC
75,750,1.00E-05,A549/ATCC
76,750,1.00E-05,A549/ATCC
77,750,1.00E-05,A549/ATCC
78,750,1.00E-05,A549/ATCC
79,750,1.00E-05,A549/ATCC
80,750,1.00E-05,A549/ATCC
81,750,1.00E-05,A-673
82,750,1.00E-05,ASPS-1
83,750,1.00E-05,CHLA-10
84,750,1.00E-05,CHLA-25
85,750,1.00E-05,CHLA-258
86,750,1.00E-05,CHLA-32
87,750,1.00E-05,CHP-100
88,750,1.00E-05,COG-E-352
89,750,1.00E-05,DDLS
90,750,1.00E-05,ES-1
91,750,1.00E-05,ES-2
92,750,1.00E-05,ES-3
93,750,1.00E-05,ES-4
94,750,1.00E-05,ES-6
95,750,1.00E-05,ES-7
96,750,1.00E-05,ES-8
97,750,1.00E-05,EW8
98,750,1.00E-05,G-401
99,750,1.00E-05,HOS
100,750,1.00E-05,Hs 132.T
101,750,1.00E-05,Hs 706.T
102,750,1.00E-05,Hs 729
103,750,1.00E-05,Hs 913.T
104,750,1.00E-05,HSSY-II
105,750,1.00E-05,HT-1080
106,750,1.00E-05,Hu09
107,750,1.00E-05,KHOS-240S
108,750,1.00E-05,KHOS-312H
109,750,1.00E-05,KHOS NP
110,750,1.00E-05,LS141
111,750,1.00E-05,MES-SA
112,750,1.00E-05,MES-SA Dx5
113,750,1.00E-05,MHM-25
114,750,1.00E-05,MHM-8
115,750,1.00E-05,MPNST
116,750,1.00E-05,OHS
117,750,1.00E-05,RD
118,750,1.00E-05,RD
119,750,1.00E-05,RD
120,750,1.00E-05,RD-ES
121,750,1.00E-05,Rh18
122,750,1.00E-05,Rh28
123,750,1.00E-05,Rh30
124,750,1.00E-05,Rh36
125,750,1.00E-05,Rh41
126,750,1.00E-05,SAOS-2
127,750,1.00E-05,SJCRH30(RMS 13)
128,750,1.00E-05,SJSA-1
129,750,1.00E-05,SK-ES-1
130,750,1.00E-05,SK-LMS-1
131,750,1.00E-05,SK-N-MC
132,750,1.00E-05,SK-UT-1
133,750,1.00E-05,SK-UT-1B
134,750,1.00E-05,ST8814
135,750,1.00E-05,SW 1353
136,750,1.00E-05,SW 684
137,750,1.00E-05,SW 982
138,750,1.00E-05,SYO-1
139,750,1.00E-05,TC-32
140,750,1.00E-05,TC-71
141,750,1.00E-05,VA-ES-BJ
142,752,1.00E-05,A-204
143,752,1.00E-05,A549/ATCC
144,752,1.00E-05,A549/ATCC
145,752,1.00E-05,A549/ATCC
146,752,1.00E-05,A549/ATCC
147,752,1.00E-05,A549/ATCC
148,752,1.00E-05,A549/ATCC
149,752,1.00E-05,A549/ATCC
150,752,1.00E-05,A549/ATCC
151,752,1.00E-05,A-673
152,752,1.00E-05,ASPS-1
153,752,1.00E-05,CHLA-10
154,752,1.00E-05,CHLA-25
155,752,1.00E-05,CHLA-258
156,752,1.00E-05,CHLA-32
157,752,1.00E-05,CHP-100
158,752,1.00E-05,COG-E-352
159,752,1.00E-05,DDLS
160,752,1.00E-05,ES-1
161,752,1.00E-05,ES-2
162,752,1.00E-05,ES-3
163,752,1.00E-05,ES-4
164,752,1.00E-05,ES-6
