id,nsc,highest_tested_concentration,cell_line
165,752,1.00E-05,ES-7
166,752,1.00E-05,ES-8
167,752,1.00E-05,EW8
168,752,1.00E-05,G-401
169,752,1.00E-05,HOS
170,752,1.00E-05,Hs 132.T
171,752,1.00E-05,Hs 706.T
172,752,1.00E-05,Hs 729
173,752,1.00E-05,Hs 913.T
174,752,1.00E-05,HSSY-II
175,752,1.00E-05,HT-1080
176,752,1.00E-05,Hu09
177,752,1.00E-05,KHOS-240S
178,752,1.00E-05,KHOS-312H
179,752,1.00E-05,KHOS NP
180,752,1.00E-05,LS141
181,752,1.00E-05,MES-SA
182,752,1.00E-05,MES-SA Dx5
183,752,1.00E-05,MHM-25
184,752,1.00E-05,MHM-8
185,752,1.00E-05,MPNST
186,752,1.00E-05,OHS
187,752,1.00E-05,RD
188,752,1.00E-05,RD
189,752,1.00E-05,RD
190,752,1.00E-05,RD-ES
191,752,1.00E-05,Rh18
192,752,1.00E-05,Rh28
193,752,1.00E-05,Rh30
194,752,1.00E-05,Rh36
195,752,1.00E-05,Rh41
196,752,1.00E-05,SAOS-2
197,752,1.00E-05,SJCRH30(RMS 13)
198,752,1.00E-05,SJSA-1
199,752,1.00E-05,SK-ES-1
200,752,1.00E-05,SK-LMS-1
201,752,1.00E-05,SK-N-MC
202,752,1.00E-05,SK-UT-1
203,752,1.00E-05,SK-UT-1B
204,752,1.00E-05,ST8814
205,752,1.00E-05,SW 1353
206,752,1.00E-05,SW 684
207,752,1.00E-05,SW 982
208,752,1.00E-05,SYO-1
209,752,1.00E-05,TC-32
210,752,1.00E-05,TC-71
211,752,1.00E-05,U-2 OS
212,752,1.00E-05,VA-ES-BJ
213,755,1.00E-05,A-204
214,755,1.00E-05,A549/ATCC
215,755,1.00E-05,A549/ATCC
216,755,1.00E-05,A549/ATCC
217,755,1.00E-05,A549/ATCC
218,755,1.00E-05,A549/ATCC
219,755,1.00E-05,A549/ATCC
220,755,1.00E-05,A549/ATCC
221,755,1.00E-05,A549/ATCC
222,755,1.00E-05,A-673
223,755,1.00E-05,ASPS-1
224,755,1.00E-05,CHLA-10
225,755,1.00E-05,CHLA-25
226,755,1.00E-05,CHLA-258
227,755,1.00E-05,CHLA-32
228,755,1.00E-05,CHP-100
229,755,1.00E-05,COG-E-352
230,755,1.00E-05,DDLS
231,755,1.00E-05,ES-1
232,755,1.00E-05,ES-2
233,755,1.00E-05,ES-3
234,755,1.00E-05,ES-4
235,755,1.00E-05,ES-6
236,755,1.00E-05,ES-7
237,755,1.00E-05,ES-8
238,755,1.00E-05,EW8
239,755,1.00E-05,G-401
240,755,1.00E-05,HOS
241,755,1.00E-05,Hs 132.T
242,755,1.00E-05,Hs 706.T
243,755,1.00E-05,Hs 729
244,755,1.00E-05,Hs 913.T
245,755,1.00E-05,HSSY-II
246,755,1.00E-05,HT-1080
247,755,1.00E-05,Hu09
248,755,1.00E-05,KHOS-240S
249,755,1.00E-05,KHOS-312H
250,755,1.00E-05,KHOS NP
251,755,1.00E-05,LS141
252,755,1.00E-05,MES-SA
253,755,1.00E-05,MES-SA Dx5
254,755,1.00E-05,MHM-25
255,755,1.00E-05,MHM-8
256,755,1.00E-05,MPNST
257,755,1.00E-05,OHS
258,755,1.00E-05,RD
259,755,1.00E-05,RD
260,755,1.00E-05,RD
261,755,1.00E-05,RD-ES
262,755,1.00E-05,Rh18
263,755,1.00E-05,Rh28
264,755,1.00E-05,Rh30
265,755,1.00E-05,Rh36
266,755,1.00E-05,Rh41
267,755,1.00E-05,SAOS-2
268,755,1.00E-05,SJCRH30(RMS 13)
269,755,1.00E-05,SJSA-1
270,755,1.00E-05,SK-ES-1
271,755,1.00E-05,SK-LMS-1
272,755,1.00E-05,SK-N-MC
273,755,1.00E-05,SK-UT-1
274,755,1.00E-05,SK-UT-1B
275,755,1.00E-05,ST8814
276,755,1.00E-05,SW 1353
277,755,1.00E-05,SW 684
278,755,1.00E-05,SW 982
279,755,1.00E-05,SYO-1
280,755,1.00E-05,TC-32
281,755,1.00E-05,TC-71
282,755,1.00E-05,U-2 OS
283,755,1.00E-05,VA-ES-BJ
284,762,1.00E-05,A-204
285,762,1.00E-05,A549/ATCC
286,762,1.00E-05,A549/ATCC
287,762,1.00E-05,A549/ATCC
288,762,1.00E-05,A549/ATCC
289,762,1.00E-05,A549/ATCC
290,762,1.00E-05,A549/ATCC
291,762,1.00E-05,A549/ATCC
292,762,1.00E-05,A549/ATCC
293,762,1.00E-05,A-673
294,762,1.00E-05,ASPS-1
295,762,1.00E-05,CHLA-10
296,762,1.00E-05,CHLA-25
297,762,1.00E-05,CHLA-258
298,762,1.00E-05,CHLA-32
299,762,1.00E-05,CHP-100
300,762,1.00E-05,COG-E-352
301,762,1.00E-05,DDLS
302,762,1.00E-05,ES-1
303,762,1.00E-05,ES-2
304,762,1.00E-05,ES-3
305,762,1.00E-05,ES-4
306,762,1.00E-05,ES-6
307,762,1.00E-05,ES-7
308,762,1.00E-05,ES-8
309,762,1.00E-05,EW8
310,762,1.00E-05,G-401
311,762,1.00E-05,HOS
312,762,1.00E-05,Hs 132.T
313,762,1.00E-05,Hs 706.T
314,762,1.00E-05,Hs 729
315,762,1.00E-05,Hs 913.T
316,762,1.00E-05,HSSY-II
317,762,1.00E-05,HT-1080
318,762,1.00E-05,Hu09
319,762,1.00E-05,KHOS-240S
320,762,1.00E-05,KHOS-312H
321,762,1.00E-05,KHOS NP
322,762,1.00E-05,LS141
323,762,1.00E-05,MES-SA
324,762,1.00E-05,MES-SA Dx5
325,762,1.00E-05,MHM-25
326,762,1.00E-05,MHM-8
327,762,1.00E-05,MPNST
328,762,1.00E-05,OHS
329,762,1.00E-05,RD
330,762,1.00E-05,RD
331,762,1.00E-05,RD
332,762,1.00E-05,RD-ES
333,762,1.00E-05,Rh18
334,762,1.00E-05,Rh28
335,762,1.00E-05,Rh30
336,762,1.00E-05,Rh36
337,762,1.00E-05,Rh41
338,762,1.00E-05,SAOS-2
339,762,1.00E-05,SJCRH30(RMS 13)
340,762,1.00E-05,SJSA-1
341,762,1.00E-05,SK-ES-1
342,762,1.00E-05,SK-LMS-1
343,762,1.00E-05,SK-N-MC
344,762,1.00E-05,SK-UT-1
345,762,1.00E-05,SK-UT-1B
346,762,1.00E-05,ST8814
347,762,1.00E-05,SW 1353
348,762,1.00E-05,SW 684
349,762,1.00E-05,SW 982
350,762,1.00E-05,SYO-1
351,762,1.00E-05,TC-32
352,762,1.00E-05,TC-71
353,762,1.00E-05,U-2 OS
354,762,1.00E-05,VA-ES-BJ
355,1390,1.00E-05,A-204
356,1390,1.00E-05,A549/ATCC
357,1390,1.00E-05,A549/ATCC
358,1390,1.00E-05,A549/ATCC
359,1390,1.00E-05,A549/ATCC
360,1390,1.00E-05,A549/ATCC
361,1390,1.00E-05,A549/ATCC
362,1390,1.00E-05,A549/ATCC
363,1390,1.00E-05,A549/ATCC
364,1390,1.00E-05,A-673
365,1390,1.00E-05,ASPS-1
366,1390,1.00E-05,CHLA-10
367,1390,1.00E-05,CHLA-25
368,1390,1.00E-05,CHLA-258
369,1390,1.00E-05,CHLA-32
370,1390,1.00E-05,CHP-100
371,1390,1.00E-05,COG-E-352
372,1390,1.00E-05,DDLS
373,1390,1.00E-05,ES-1
374,1390,1.00E-05,ES-2
375,1390,1.00E-05,ES-3
376,1390,1.00E-05,ES-4
377,1390,1.00E-05,ES-6
378,1390,1.00E-05,ES-7
379,1390,1.00E-05,ES-8
380,1390,1.00E-05,EW8
381,1390,1.00E-05,G-401
382,1390,1.00E-05,HOS
383,1390,1.00E-05,Hs 132.T
384,1390,1.00E-05,Hs 706.T
385,1390,1.00E-05,Hs 729
386,1390,1.00E-05,Hs 913.T
387,1390,1.00E-05,HSSY-II
388,1390,1.00E-05,HT-1080
389,1390,1.00E-05,Hu09
390,1390,1.00E-05,KHOS-240S
391,1390,1.00E-05,KHOS-312H
392,1390,1.00E-05,KHOS NP
393,1390,1.00E-05,LS141
394,1390,1.00E-05,MES-SA
395,1390,1.00E-05,MES-SA Dx5
396,1390,1.00E-05,MHM-25
397,1390,1.00E-05,MHM-8
398,1390,1.00E-05,MPNST
399,1390,1.00E-05,OHS
400,1390,1.00E-05,RD
401,1390,1.00E-05,RD
402,1390,1.00E-05,RD
403,1390,1.00E-05,RD-ES
404,1390,1.00E-05,Rh18
405,1390,1.00E-05,Rh28
406,1390,1.00E-05,Rh30
407,1390,1.00E-05,Rh36
408,1390,1.00E-05,Rh41
409,1390,1.00E-05,SAOS-2
410,1390,1.00E-05,SJCRH30(RMS 13)
411,1390,1.00E-05,SJSA-1
412,1390,1.00E-05,SK-ES-1
413,1390,1.00E-05,SK-LMS-1
414,1390,1.00E-05,SK-N-MC
415,1390,1.00E-05,SK-UT-1
416,1390,1.00E-05,SK-UT-1B
417,1390,1.00E-05,ST8814
418,1390,1.00E-05,SW 1353
419,1390,1.00E-05,SW 684
420,1390,1.00E-05,SW 982
421,1390,1.00E-05,SYO-1
422,1390,1.00E-05,TC-32
423,1390,1.00E-05,TC-71
424,1390,1.00E-05,U-2 OS
425,1390,1.00E-05,VA-ES-BJ
426,3053,1.00E-07,A-204
427,3053,1.00E-07,A549/ATCC
428,3053,1.00E-07,A549/ATCC
429,3053,1.00E-07,A549/ATCC
430,3053,1.00E-07,A549/ATCC
431,3053,1.00E-07,A549/ATCC
432,3053,1.00E-07,A549/ATCC
433,3053,1.00E-07,A549/ATCC
434,3053,1.00E-07,A549/ATCC
435,3053,1.00E-07,A-673
436,3053,1.00E-07,ASPS-1
437,3053,1.00E-07,CHLA-10
438,3053,1.00E-07,CHLA-25
439,3053,1.00E-07,CHLA-258
440,3053,1.00E-07,CHLA-32
441,3053,1.00E-07,CHP-100
442,3053,1.00E-07,COG-E-352
443,3053,1.00E-07,DDLS
444,3053,1.00E-07,ES-1
445,3053,1.00E-07,ES-2
446,3053,1.00E-07,ES-3
447,3053,1.00E-07,ES-4
448,3053,1.00E-07,ES-6
449,3053,1.00E-07,ES-7
450,3053,1.00E-07,ES-8
451,3053,1.00E-07,EW8
452,3053,1.00E-07,G-401
453,3053,1.00E-07,HOS
454,3053,1.00E-07,Hs 132.T
455,3053,1.00E-07,Hs 706.T
456,3053,1.00E-07,Hs 729
457,3053,1.00E-07,Hs 913.T
458,3053,1.00E-07,HSSY-II
459,3053,1.00E-07,HT-1080
460,3053,1.00E-07,Hu09
461,3053,1.00E-07,KHOS-240S
462,3053,1.00E-07,KHOS-312H
463,3053,1.00E-07,KHOS NP
464,3053,1.00E-07,LS141
465,3053,1.00E-07,MES-SA
466,3053,1.00E-07,MES-SA Dx5
467,3053,1.00E-07,MHM-25
468,3053,1.00E-07,MHM-8
469,3053,1.00E-07,MPNST
470,3053,1.00E-07,OHS
471,3053,1.00E-07,RD
472,3053,1.00E-07,RD
473,3053,1.00E-07,RD
474,3053,1.00E-07,RD-ES
475,3053,1.00E-07,Rh18
476,3053,1.00E-07,Rh28
477,3053,1.00E-07,Rh30
478,3053,1.00E-07,Rh36
479,3053,1.00E-07,Rh41
480,3053,1.00E-07,SAOS-2
481,3053,1.00E-07,SJCRH30(RMS 13)
482,3053,1.00E-07,SJSA-1
483,3053,1.00E-07,SK-ES-1
484,3053,1.00E-07,SK-LMS-1
485,3053,1.00E-07,SK-N-MC
486,3053,1.00E-07,SK-UT-1
487,3053,1.00E-07,SK-UT-1B
488,3053,1.00E-07,ST8814
489,3053,1.00E-07,SW 1353
490,3053,1.00E-07,SW 684
491,3053,1.00E-07,SW 982
492,3053,1.00E-07,SYO-1
493,3053,1.00E-07,TC-32
494,3053,1.00E-07,TC-71
495,3053,1.00E-07,U-2 OS
496,3053,1.00E-07,VA-ES-BJ
497,3088,1.00E-05,A-204
498,3088,1.00E-05,A549/ATCC
499,3088,1.00E-05,A549/ATCC
500,3088,1.00E-05,A549/ATCC
501,3088,1.00E-05,A549/ATCC
502,3088,1.00E-05,A549/ATCC
503,3088,1.00E-05,A549/ATCC
504,3088,1.00E-05,A549/ATCC
505,3088,1.00E-05,A-673
506,3088,1.00E-05,ASPS-1
507,3088,1.00E-05,CHLA-10
508,3088,1.00E-05,CHLA-25
509,3088,1.00E-05,CHLA-258
510,3088,1.00E-05,CHLA-32
511,3088,1.00E-05,CHP-100
512,3088,1.00E-05,COG-E-352
513,3088,1.00E-05,DDLS
514,3088,1.00E-05,ES-1
515,3088,1.00E-05,ES-2
516,3088,1.00E-05,ES-3
517,3088,1.00E-05,ES-4
518,3088,1.00E-05,ES-6
519,3088,1.00E-05,ES-7
520,3088,1.00E-05,ES-8
521,3088,1.00E-05,G-401
522,3088,1.00E-05,HOS
523,3088,1.00E-05,Hs 132.T
524,3088,1.00E-05,Hs 706.T
525,3088,1.00E-05,Hs 729
526,3088,1.00E-05,Hs 913.T
527,3088,1.00E-05,HSSY-II
528,3088,1.00E-05,HT-1080
529,3088,1.00E-05,Hu09
530,3088,1.00E-05,KHOS-240S
531,3088,1.00E-05,KHOS-312H
532,3088,1.00E-05,KHOS NP
533,3088,1.00E-05,LS141
534,3088,1.00E-05,MES-SA
535,3088,1.00E-05,MES-SA Dx5
536,3088,1.00E-05,MHM-25
537,3088,1.00E-05,MHM-8
538,3088,1.00E-05,MPNST
539,3088,1.00E-05,OHS
540,3088,1.00E-05,RD
541,3088,1.00E-05,RD
542,3088,1.00E-05,RD
543,3088,1.00E-05,RD-ES
544,3088,1.00E-05,Rh18
545,3088,1.00E-05,Rh28
546,3088,1.00E-05,Rh30
547,3088,1.00E-05,Rh36
548,3088,1.00E-05,Rh41
549,3088,1.00E-05,SAOS-2
550,3088,1.00E-05,SJCRH30(RMS 13)
551,3088,1.00E-05,SJSA-1
552,3088,1.00E-05,SK-ES-1
553,3088,1.00E-05,SK-LMS-1
554,3088,1.00E-05,SK-N-MC
555,3088,1.00E-05,SK-UT-1
556,3088,1.00E-05,SK-UT-1B
557,3088,1.00E-05,ST8814
558,3088,1.00E-05,SW 1353
559,3088,1.00E-05,SW 684
560,3088,1.00E-05,SW 982
561,3088,1.00E-05,SYO-1
562,3088,1.00E-05,TC-32
563,3088,1.00E-05,TC-71
564,3088,1.00E-05,U-2 OS
565,3088,1.00E-05,VA-ES-BJ
566,6396,1.00E-05,A-204
567,6396,1.00E-05,A549/ATCC
568,6396,1.00E-05,A549/ATCC
569,6396,1.00E-05,A549/ATCC
570,6396,1.00E-05,A549/ATCC
571,6396,1.00E-05,A549/ATCC
572,6396,1.00E-05,A549/ATCC
573,6396,1.00E-05,A549/ATCC
574,6396,1.00E-05,A549/ATCC
575,6396,1.00E-05,A-673
576,6396,1.00E-05,ASPS-1
577,6396,1.00E-05,CHLA-10
578,6396,1.00E-05,CHLA-25
579,6396,1.00E-05,CHLA-258
580,6396,1.00E-05,CHLA-32
581,6396,1.00E-05,CHP-100
582,6396,1.00E-05,COG-E-352
583,6396,1.00E-05,DDLS
584,6396,1.00E-05,ES-1
585,6396,1.00E-05,ES-2
586,6396,1.00E-05,ES-3
587,6396,1.00E-05,ES-4
588,6396,1.00E-05,ES-6
589,6396,1.00E-05,ES-7
590,6396,1.00E-05,ES-8
591,6396,1.00E-05,EW8
592,6396,1.00E-05,G-401
593,6396,1.00E-05,HOS
594,6396,1.00E-05,Hs 132.T
595,6396,1.00E-05,Hs 706.T
596,6396,1.00E-05,Hs 729
597,6396,1.00E-05,Hs 913.T
598,6396,1.00E-05,HSSY-II
599,6396,1.00E-05,HT-1080
600,6396,1.00E-05,Hu09
601,6396,1.00E-05,KHOS-240S
602,6396,1.00E-05,KHOS-312H
603,6396,1.00E-05,KHOS NP
604,6396,1.00E-05,LS141
605,6396,1.00E-05,MES-SA
606,6396,1.00E-05,MES-SA Dx5
607,6396,1.00E-05,MHM-25
608,6396,1.00E-05,MHM-8
609,6396,1.00E-05,MPNST
610,6396,1.00E-05,OHS
611,6396,1.00E-05,RD
612,6396,1.00E-05,RD
613,6396,1.00E-05,RD
614,6396,1.00E-05,RD-ES
615,6396,1.00E-05,Rh18
616,6396,1.00E-05,Rh28
617,6396,1.00E-05,Rh30
618,6396,1.00E-05,Rh36
619,6396,1.00E-05,Rh41
620,6396,1.00E-05,SAOS-2
621,6396,1.00E-05,SJCRH30(RMS 13)
622,6396,1.00E-05,SJSA-1
623,6396,1.00E-05,SK-ES-1
624,6396,1.00E-05,SK-LMS-1
625,6396,1.00E-05,SK-N-MC
626,6396,1.00E-05,SK-UT-1
627,6396,1.00E-05,SK-UT-1B
628,6396,1.00E-05,ST8814
629,6396,1.00E-05,SW 1353
630,6396,1.00E-05,SW 684
631,6396,1.00E-05,SW 982
632,6396,1.00E-05,SYO-1
633,6396,1.00E-05,TC-32
634,6396,1.00E-05,TC-71
635,6396,1.00E-05,U-2 OS
636,6396,1.00E-05,VA-ES-BJ
637,8806,1.00E-05,A-204
638,8806,1.00E-05,A549/ATCC
639,8806,1.00E-05,A549/ATCC
640,8806,1.00E-05,A549/ATCC
641,8806,1.00E-05,A549/ATCC
642,8806,1.00E-05,A549/ATCC
643,8806,1.00E-05,A549/ATCC
644,8806,1.00E-05,A549/ATCC
645,8806,1.00E-05,A549/ATCC
646,8806,1.00E-05,A-673
647,8806,1.00E-05,ASPS-1
648,8806,1.00E-05,CHLA-10
649,8806,1.00E-05,CHLA-25
650,8806,1.00E-05,CHLA-258
651,8806,1.00E-05,CHLA-32
652,8806,1.00E-05,CHP-100
653,8806,1.00E-05,COG-E-352
654,8806,1.00E-05,DDLS
655,8806,1.00E-05,ES-1
656,8806,1.00E-05,ES-2
657,8806,1.00E-05,ES-3
658,8806,1.00E-05,ES-4
659,8806,1.00E-05,ES-6
660,8806,1.00E-05,ES-7
661,8806,1.00E-05,ES-8
662,8806,1.00E-05,EW8
663,8806,1.00E-05,G-401
664,8806,1.00E-05,HOS
665,8806,1.00E-05,Hs 132.T
666,8806,1.00E-05,Hs 706.T
667,8806,1.00E-05,Hs 729
668,8806,1.00E-05,Hs 913.T
669,8806,1.00E-05,HSSY-II
670,8806,1.00E-05,HT-1080
671,8806,1.00E-05,Hu09
672,8806,1.00E-05,KHOS-240S
673,8806,1.00E-05,KHOS-312H
674,8806,1.00E-05,KHOS NP
675,8806,1.00E-05,LS141
676,8806,1.00E-05,MES-SA
677,8806,1.00E-05,MES-SA Dx5
678,8806,1.00E-05,MHM-25
679,8806,1.00E-05,MHM-8
680,8806,1.00E-05,MPNST
681,8806,1.00E-05,OHS
682,8806,1.00E-05,RD
683,8806,1.00E-05,RD
684,8806,1.00E-05,RD
685,8806,1.00E-05,RD-ES
686,8806,1.00E-05,Rh18
687,8806,1.00E-05,Rh28
688,8806,1.00E-05,Rh30
689,8806,1.00E-05,Rh36
690,8806,1.00E-05,Rh41
691,8806,1.00E-05,SAOS-2
692,8806,1.00E-05,SJCRH30(RMS 13)
693,8806,1.00E-05,SJSA-1
694,8806,1.00E-05,SK-ES-1
695,8806,1.00E-05,SK-LMS-1
696,8806,1.00E-05,SK-N-MC
697,8806,1.00E-05,SK-UT-1
698,8806,1.00E-05,SK-UT-1B
699,8806,1.00E-05,ST8814
700,8806,1.00E-05,SW 1353
701,8806,1.00E-05,SW 684
702,8806,1.00E-05,SW 982
703,8806,1.00E-05,SYO-1
704,8806,1.00E-05,TC-32
705,8806,1.00E-05,TC-71
706,8806,1.00E-05,U-2 OS
707,8806,1.00E-05,VA-ES-BJ
708,9706,1.00E-05,A-204
709,9706,1.00E-05,A549/ATCC
710,9706,1.00E-05,A549/ATCC
711,9706,1.00E-05,A549/ATCC
712,9706,1.00E-05,A549/ATCC
713,9706,1.00E-05,A549/ATCC
714,9706,1.00E-05,A549/ATCC
715,9706,1.00E-05,A549/ATCC
716,9706,1.00E-05,A549/ATCC
717,9706,1.00E-05,A-673
718,9706,1.00E-05,ASPS-1
719,9706,1.00E-05,CHLA-10
720,9706,1.00E-05,CHLA-25
721,9706,1.00E-05,CHLA-258
722,9706,1.00E-05,CHLA-32
723,9706,1.00E-05,CHP-100
724,9706,1.00E-05,COG-E-352
725,9706,1.00E-05,DDLS
726,9706,1.00E-05,ES-1
727,9706,1.00E-05,ES-2
728,9706,1.00E-05,ES-3
729,9706,1.00E-05,ES-4
730,9706,1.00E-05,ES-6
731,9706,1.00E-05,ES-7
732,9706,1.00E-05,ES-8
733,9706,1.00E-05,EW8
734,9706,1.00E-05,G-401
735,9706,1.00E-05,HOS
736,9706,1.00E-05,Hs 132.T
737,9706,1.00E-05,Hs 706.T
738,9706,1.00E-05,Hs 729
739,9706,1.00E-05,Hs 913.T
740,9706,1.00E-05,HSSY-II
741,9706,1.00E-05,HT-1080
742,9706,1.00E-05,Hu09
743,9706,1.00E-05,KHOS-240S
744,9706,1.00E-05,KHOS-312H
745,9706,1.00E-05,KHOS NP
746,9706,1.00E-05,LS141
747,9706,1.00E-05,MES-SA
748,9706,1.00E-05,MES-SA Dx5
749,9706,1.00E-05,MHM-25
750,9706,1.00E-05,MHM-8
751,9706,1.00E-05,MPNST
752,9706,1.00E-05,OHS
753,9706,1.00E-05,RD
754,9706,1.00E-05,RD
755,9706,1.00E-05,RD
756,9706,1.00E-05,RD-ES
757,9706,1.00E-05,Rh18
758,9706,1.00E-05,Rh28
759,9706,1.00E-05,Rh30
760,9706,1.00E-05,Rh36
761,9706,1.00E-05,Rh41
762,9706,1.00E-05,SAOS-2
763,9706,1.00E-05,SJCRH30(RMS 13)
764,9706,1.00E-05,SJSA-1
765,9706,1.00E-05,SK-ES-1
766,9706,1.00E-05,SK-LMS-1
767,9706,1.00E-05,SK-N-MC
768,9706,1.00E-05,SK-UT-1
769,9706,1.00E-05,SK-UT-1B
770,9706,1.00E-05,ST8814
771,9706,1.00E-05,SW 1353
772,9706,1.00E-05,SW 684
773,9706,1.00E-05,SW 982
774,9706,1.00E-05,SYO-1
775,9706,1.00E-05,TC-32
776,9706,1.00E-05,TC-71
777,9706,1.00E-05,U-2 OS
778,9706,1.00E-05,VA-ES-BJ
779,13875,1.00E-05,A-204
780,13875,1.00E-05,A549/ATCC
781,13875,1.00E-05,A549/ATCC
