experiment_id,log_ec50,response_zero,response_inflection,hill_slope,log_ic50,flag_ic50
7,-7.755663444,36.90318529,102.6829877,-1.786687676,-7.407823243,=
15,-7.761140805,19.00822255,88.95126603,-1.960065216,-7.68613278,=
19,-8.671810856,5.010000471,143.7579875,-2.200728881,-8.493494968,=
20,-8.100847867,17.83042358,93.69548704,-5.065383639,-8.059981845,=
22,-9.782545755,48.26821211,423.3638954,-0.821320097,-6.928117993,=
35,-6.247224132,33.04169852,91.63058866,-2.480803202,-6.061980903,=
36,-7.974575224,16.83074495,104.2771835,-5.6817542,-7.974694135,=
56,-7.694489427,8.85402885,94.51263353,-3.125670159,-7.657577319,=
59,-7.887432623,18.26755773,102.0044395,-1.815664654,-7.73754891,=
68,-7.987063998,16.24377985,87.02460552,-3.867693999,-8.016373713,=
146,-5.255550888,9.286147837,96.12410647,-2.659450756,-5.226945307,=
147,-5.332492221,19.36986342,106.4734895,-2.592154173,-5.189095719,=
150,-5.432561183,43.81768078,97.82348422,-2.53296694,-5.039053804,=
168,-5.776196627,11.13686409,92.65176867,-2.03443829,-5.744727495,=
199,-5.453604458,44.23114947,99.86401782,-8.521239483,-5.080398976,=
206,-5.40715959,3.643912175,107.0721563,-0.571588001,-5.244887734,=
227,-6.137695821,7.775881921,101.7914608,-0.826231537,-6.030118356,=
229,-6.177487579,15.7685411,94.9935569,-2.116799157,-6.118615343,=
231,-5.47173644,24.14162821,98.64212754,-10.9088065,-5.310691141,=
236,-5.488946552,34.82611983,99.95083016,-1.979570342,-5.166215625,=
249,-5.290643023,0.278781431,98.61880904,-1.988904728,-5.287350298,=
250,-5.348567395,8.436508124,96.35705804,-3.659565898,-5.289036881,=
264,-5.888850772,46.93535488,95.86352525,-2.06394927,-5.210419288,=
273,-5.431546905,32.98339477,98.31908353,-3.616390796,-5.196542884,=
274,-4.5484421,-135.2135488,93.37692515,-1.010883872,-5.211831629,=
295,-6.720309949,0.947960649,106.7849468,-1.345060556,-6.66756154,=
319,-4.837089052,-123.0402141,99.74027413,-0.749629297,-5.576754126,=
323,-5.558936834,31.45208608,94.82200591,-2.143467398,-5.326058001,=
328,-6.707397249,10.4206005,98.50059365,-1.617123794,-6.643974143,=
329,-6.327717104,38.36817311,93.1741375,-1.63050633,-5.970616222,=
349,-6.141025475,12.99438656,87.64836058,-1.073680144,-6.13667714,=
351,-7.133043451,-1.920898086,98.27249251,-1.488665088,-7.156767222,=
436,-5.168401043,-125.0661772,95.05010207,-0.248591216,-7.54515514,=
438,-8.831542956,-0.182488463,116.9435545,-1.087255053,-8.70333481,=
450,-9.112878695,0.412502772,61.34043431,-1.918044136,-9.494850022,=
457,-9.049079963,-4.275819904,79.40300775,-0.772155482,-9.395773947,=
