experiment_id,log_ec50,response_zero,response_inflection,hill_slope,log_ic50,flag_ic50
461,-8.769244656,1.672205684,98.50105924,-1.58397399,-8.759450752,=
495,-8.614226635,4.438605281,72.38082115,-2.301942881,-8.774690718,=
510,-4.235436912,-371.1507142,91.10011187,-0.987802883,-5.308918508,=
539,-5.374731782,7.399107997,91.78993188,-1.687046278,-5.368556231,=
548,-5.300308665,-4.66481018,80.05901155,-0.634205091,-5.721246399,=
556,-3.192557035,-1513.182131,87.66000122,-0.748335101,-5.387216143,=
579,-5.860802651,11.78558206,104.1790624,-0.718205272,-5.643974143,=
590,-5.717556923,0.104724856,100.8499734,-4.775577275,-5.714442691,=
592,-6.408112408,14.20983228,92.10809878,-1.091401018,-6.334419009,=
637,-5.373440202,12.88362935,112.5504172,-1.027682749,-5.142064735,=
651,-5.17473412,-64.26622831,113.1875512,-1.198136393,-5.396855627,=
657,-5.694855689,-16.10818044,118.5042558,-1.273417271,-5.684029655,=
668,-5.390677222,15.48391616,93.17901237,-0.675458425,-5.241845378,=
708,-6.621502461,15.46570466,108.921263,-0.934332907,-6.363512104,=
716,-5.665025574,20.31038968,86.11815585,-0.670752393,-5.537602002,=
717,-6.451348928,-1.474543016,106.051327,-1.651841997,-6.428291168,=
726,-6.683228674,-2.668445216,77.65177704,-1.464541686,-6.876148359,=
741,-5.918539857,41.02616415,98.61659007,-6.074742867,-5.595166283,=
743,-5.716345189,21.64773504,95.73650636,-1.49655739,-5.571865206,=
748,-6.225590726,0.158953211,112.0502187,-1.537752543,-6.156767222,=
749,-5.620460741,-13.11850036,86.87690666,-0.69568806,-5.954677021,=
756,-6.670892753,-2.583261776,82.45276702,-2.352440183,-6.769551079,=
758,-1.464689459,-208.6274819,143.9331164,-0.097899953,-5.958607315,=
765,-6.829854414,1.029501671,96.23088009,-1.956590587,-6.829738285,=
766,-5.841931938,16.16003201,87.95750891,-1.711165236,-5.795880017,=
776,-6.945976152,-2.778964029,88.1506411,-1.226268367,-7.077274542,=
851,-4.086331239,-710.5028899,94.72732734,-1.232844143,-5.131943638,=
856,-4.439913079,-240.2922883,84.81048154,-1.324421447,-5.195860568,=
859,-4.501314595,-167.472252,82.83633284,-1.116020532,-5.289036881,=
869,-4.98996817,-76.55801938,103.5387874,-2.051436118,-5.229147988,=
871,-2.712260395,-2669.201013,74.98295507,-0.714487496,-5.591760035,=
873,-3.795187218,-1505.971943,74.32126315,-1.106083858,-5.449771647,=
882,-5.071837767,19.29118526,93.80407481,-10.0118949,-5.14327111,=
884,-5.187806103,-6.683131136,99.84693623,-4.363316328,-5.234331445,=
885,-3.491483011,-1519.791108,82.77252756,-0.995613159,-5.239577517,=
889,-5.407522212,2.967705829,96.7824114,-6.510314399,-5.32330639,=
895,-5.488923219,4.154118083,74.26862791,-2.317663908,-5.661543506,=
896,-4.222333156,-970.1113219,82.43355832,-1.578107977,-5.262807357,=
904,-4.923442058,-66.007877,73.47314834,-0.966575608,-5.681936665,=
1077,-5.590665981,43.22621687,87.73984066,-2.481750485,-5.183096161,=
1078,-5.506149712,22.1070864,94.65150642,-10.37923734,-5.514278574,=
1081,-5.958447259,30.2949929,85.95758104,-1.216712869,-5.718966633,=
1121,-5.745384346,9.302609617,101.0396774,-2.661020196,-5.694648631,=
1135,-7.839267997,4.640251082,75.90396622,-9.196285967,-7.882728704,=
1137,-7.810085666,3.014924632,108.9808943,-8.210036534,-7.675717545,=
1139,-7.860505782,2.874966884,121.2220218,-4.408327279,-7.759450752,=
1149,-8.175677887,-0.757737544,98.61427798,-2.549963797,-8.166215625,=
1167,-7.621979637,-0.005861689,70.49649118,-2.373723987,-7.795880017,=
1175,-7.875868071,0.548677902,86.25661393,-8.17077306,-7.978810701,=
1192,-8.114419825,-0.229230771,107.4838761,-2.120446616,-8.081445469,=
1195,-7.530329461,19.02911641,101.1036164,-2.905275659,-7.463441557,=
1211,-5.109312516,6.191172789,90.36688945,-0.990965824,-5.151195299,=
1215,-5.972548146,23.70559116,81.90541026,-0.946103737,-5.876148359,=
1216,-6.280220603,5.841788743,79.23426244,-0.944972116,-6.476253533,=
1221,-5.397450679,2.016071943,76.62511772,-1.651041562,-5.580044252,=
1246,-5.547328692,17.09974825,78.91704848,-1.14629888,-5.605548319,=
1259,-5.715922297,3.518884728,73.79827489,-1.745206956,-5.88941029,=
1261,-5.762830957,-4.657843062,88.43716187,-1.767590453,-5.850780887,=
1262,-5.597326041,34.53841285,93.59991894,-1.507128141,-5.251037139,=
1264,-5.334887841,-2.458464154,96.63441657,-0.610368825,-5.417936637,=
1270,-5.400920493,-12.70101459,70.71741348,-1.497840991,-5.76700389,=
1344,-7.373261858,-3.616690383,94.62229421,-0.733319497,-7.4867824,=
1356,-6.860745024,-6.382441046,108.5826065,-0.520068925,-6.826813732,=
1360,-6.781321553,0.45821669,95.78745855,-0.617498713,-6.835647144,=
1364,-7.145142434,3.050206521,92.31242908,-0.862597584,-7.19859629,=
1370,-6.13320323,22.74925854,100.9158647,-0.643835779,-5.698970004,=
1373,-6.413511736,-12.7845937,95.6903755,-0.4880354,-6.701146924,=
1375,-6.659950457,1.772943103,112.4373345,-1.106239422,-6.555955204,=
1398,-6.482626916,-17.41927581,133.3445465,-0.551550434,-6.311580178,=
1402,-7.441447211,1.295647548,103.7476664,-1.512895856,-7.416801226,=
1405,-7.15439866,7.240208627,87.72464211,-1.404883046,-7.194499142,=
1409,-8.039267122,-1.670760345,70.75205083,-1.427363925,-8.320572103,=
1429,-8.146921204,5.924983249,99.08506935,-0.960410748,-8.095284455,=
1431,-8.100577249,3.812303548,93.68476856,-2.645389069,-8.111259039,=
1433,-7.290978903,2.219958957,98.32913072,-1.373044652,-7.279014256,=
1434,-7.077345294,32.92395416,89.65463185,-0.619298173,-6.48148606,=
1437,-8.071807421,0.499945794,86.89536423,-2.486061883,-8.137868621,=
1438,-8.766079985,3.140534174,135.8202602,-1.492908467,-8.562249437,=
1449,-6.968826797,5.241927998,101.5734866,-0.873383337,-6.896196279,=
1454,-6.900594519,22.6226792,99.75411364,-0.772846322,-6.555955204,=
1455,-8.115521604,5.145573746,152.9302728,-0.277335797,-6.809668302,=
1472,-8.210157875,1.462855226,86.02989209,-2.248038258,-8.258848401,=
1478,-7.351919171,14.94894723,98.7406396,-0.457665635,-7.036212173,=
1479,-8.207693822,1.010103389,127.7833548,-0.856027419,-7.966576245,=
1644,-5.992343398,1.393333487,83.31834501,-1.019815402,-6.166852888,=
1670,-5.869863943,38.68827012,77.98812057,-3.128198836,-5.663540266,=
1678,-5.969010701,12.83344101,81.62281407,-1.945216758,-6.021363052,=
1695,-4.9671542,-88.98555625,81.12646388,-1.283990453,-5.474955193,=
1709,-5.945317241,-5.844401608,94.93238882,-1.963839158,-6.008330993,=
1722,-5.50352209,-1.464340799,78.5838897,-3.752013624,-5.653647026,=
1724,-5.722526356,-3.829473219,81.4957804,-2.918573683,-5.815308569,=
1734,-5.553496572,-1.801194512,103.7330266,-3.959378485,-5.595166283,=
1737,-5.711414114,-1.352744746,82.95744088,-3.780599939,-5.779891912,=
1746,-5.754940797,-0.919461559,99.0852534,-4.158744066,-5.739928612,=
1771,-3.78112495,-76.57840862,96.86541343,-1.234436717,-4.138465589,=
1782,-4.379164588,0.397873352,79.92373538,-6.342245637,-4.469800302,=
1794,-4.255156797,0.354850463,71.81557522,-8.572653008,-4.477555766,=
1815,-4.202502429,0.558714187,85.37497906,-9.940979153,-4.345823458,=
1979,-8.051193063,11.61226686,106.1904326,-1.309320282,-7.91721463,=
2000,-8.676691317,2.04467695,72.26530802,-2.47704835,-8.823908741,=
2002,-8.113075706,36.07703191,98.89594245,-1.059079083,-7.573488739,=
2013,-8.435034096,4.521724695,70.5484569,-1.580371163,-8.692503962,=
2033,-8.62950207,-1.584676199,87.48772512,-2.021458097,-8.71219827,=
2038,-8.696894969,9.295357341,94.30717871,-2.190445486,-8.671620397,=
2040,-8.73719084,0.075085317,94.94504382,-4.417641096,-8.716698771,=
2114,-6.987216656,7.808125777,104.4085688,-1.067800843,-6.879426069,=
2131,-7.563600918,17.74036823,79.71367221,-1.241375942,-7.598599459,=
2140,-7.121725435,5.183170294,70.32386742,-1.468214607,-7.358525889,=
2146,-7.250553137,2.987869641,66.11240119,-1.165454093,-7.684029655,=
2150,-5.82095731,31.54366081,93.53470497,-1.243775982,-5.515700161,=
2153,-6.389561626,7.377407254,80.50608329,-1.281684618,-6.517126416,=
2170,-7.003673229,32.12166196,117.133732,-0.962767021,-6.397940009,=
2172,-6.116685813,23.16982256,88.5170557,-2.805538828,-6.069560405,=
2290,-8.785228326,10.97409231,97.85516003,-1.558342288,-8.71219827,=
2292,-7.747308183,3.027969481,70.15129833,-1.454226909,-8.038104526,=
2541,-6.990847945,-2.184310083,82.94650924,-1.263185554,-7.166852888,=
2561,-7.626510464,-0.930798786,78.40709958,-0.970743923,-7.89279003,=
2569,-8.448814852,2.456742397,94.70635851,-0.742407288,-8.488116639,=
2581,-7.934232837,-0.072467727,98.74692992,-0.921962614,-7.950781977,=
2587,-8.000069713,-2.029016217,66.59128294,-2.907036536,-8.226213555,=
2588,-7.67353059,-0.98539198,77.87159491,-0.983156227,-7.954677021,=
2598,-8.294811388,-0.368051465,73.9127352,-5.031555495,-8.404503778,=
2602,-9.816799607,1.307930184,534.0950066,-0.86450246,-8.619788758,=
2752,-7.105569041,0.619831669,98.80903085,-3.181041704,-7.122628654,=
2764,-6.883629526,21.01635876,101.3839053,-2.699738925,-6.732828272,=
2770,-7.000381814,3.23231506,90.91565267,-3.35181573,-7.064996849,=
2771,-7.338857904,2.141540889,100.7263538,-2.010693871,-7.310691141,=
2774,-6.96958162,1.278221934,102.5462422,-3.944646641,-7,=
2776,-6.945798837,1.037742452,91.89078298,-4.023805895,-7.01278077,=
2791,-6.545335664,7.220054359,97.20173264,-3.072647661,-6.559090918,=
2798,-6.761475527,37.08203803,97.08264592,-4.702889146,-6.543633967,=
2806,-7.275881184,0.384239835,89.07966152,-2.689367276,-7.298432015,=
2808,-7.030585097,0.152721249,84.14731446,-5.813458632,-7.156144577,=
2811,-6.561634068,0.399070189,95.67549998,-3.032911691,-6.607303047,=
2897,-6.143418373,0.899834686,91.53038914,-1.582503233,-6.197910742,=
2912,-5.976990413,-15.57883484,92.96146518,-0.646576831,-6.26760624,=
2915,-6.667481937,11.73049036,85.87462592,-3.064083109,-6.679853714,=
2923,-7.221801556,0.911625334,71.62245399,-1.179171705,-7.552841969,=
2953,-6.582989868,0.880685794,106.7113365,-1.232773056,-6.534617149,=
3031,-1.615692235,-692.4148547,101.7885592,-0.422227963,-4.37161107,=
3041,-5.024139853,8.991140361,87.43615826,-1.50031081,-5.062983893,=
3051,-5.54784957,8.552296613,72.66778291,-1.38286272,-5.754487332,=
3052,-4.821340506,16.85467978,78.12179574,-1.369981736,-4.869666232,=
3054,-4.4369751,-9.354780976,65.30741588,-1.905529353,-4.806875402,=
3059,-3.492224106,-67.03276436,69.95700363,-1.280285727,-4.135488919,=
3061,-4.402431618,-1.427523015,74.29882047,-2.136824765,-4.598599459,=
3067,-4.590419003,48.2712355,81.99878574,-4.857984592,-4.109020403,=
3070,-4.069740186,-16.82502311,93.2657796,-2.178227028,-4.195860568,=
3074,-3.244166564,-67.63303256,73.94565437,-0.891276439,-4.027334408,=
3078,-3.081436567,-108.6705906,88.86621182,-0.618024512,-4.083546051,=
3095,-5.507673669,-1.453074249,91.72958824,-1.175550092,-5.596879479,=
3096,-5.807195124,-3.500978427,74.43372542,-0.892864842,-6.207608311,=
3170,-6.351709271,-20.87965299,96.12567334,-0.495944831,-6.732828272,=
3178,-7.641387058,0.718266298,99.29575732,-2.01260541,-7.638272164,=
3179,-2.074139505,-1181.819799,74.732758,-0.481549711,-5.623423043,=
3188,-8.190383972,0.524502388,64.19739776,-2.281750237,-8.494850022,=
3205,-7.656834537,-1.454617812,98.38281066,-0.727110913,-7.692503962,=
3228,-7.757896102,-0.521523801,82.39153498,-2.103945092,-7.847711656,=
3244,-8.43374536,0.039566682,80.59548907,-0.772424351,-8.714442691,=
3245,-8.606101872,1.859808841,134.7275337,-0.76805645,-8.279014256,=
3247,-7.06046598,-6.364513256,109.9090179,-0.747571859,-7.026410377,=
3269,-6.682833418,-9.081138044,92.52300607,-0.731565333,-6.879426069,=
3274,-6.527000409,-3.536069391,92.34032638,-1.169680454,-6.625251654,=
3278,-6.371955384,-1.213785398,95.31807933,-1.414722308,-6.406713933,=
3299,-6.463311959,-6.523033854,97.37237999,-0.884550481,-6.557520231,=
3307,-7.974031014,2.01348217,108.1783314,-5.067174794,-8.009661145,=
3323,-4.785532949,-52.9890707,90.98807183,-0.461401805,-5.665546249,=
3352,-6.942930936,0.647498032,57.49560717,-0.936061043,-7.829738285,=
3354,-7.160375304,-1.632108324,65.19719631,-0.697075802,-7.935542011,=
3362,-7.138093271,1.004918087,89.53127916,-4.038855682,-7.174573882,=
3366,-6.95832564,1.51446404,100.9808883,-9.925874181,-7.062983893,=
3370,-8.896442955,0.073030663,125.0943483,-1.15045843,-8.728158393,=
3376,-8.066507353,1.943242035,105.4121037,-3.710428111,-8.059981845,=
3385,-7.619624666,0.776925224,90.22848177,-2.390586826,-7.661543506,=
3388,-7.464976138,2.491730043,94.52551901,-4.941527508,-7.540607512,=
3389,-7.489223158,1.397284637,94.46825917,-2.630903766,-7.534617149,=
3394,-8.624163519,-3.449888781,152.2167154,-0.555729765,-8.106238238,=
3397,-8.134533987,-2.063502045,121.9360396,-0.554958404,-7.882728704,=
3402,-7.936464588,0.155119629,85.7491288,-3.22725407,-8.038578906,=
3411,-8.180643714,0.572748016,102.5957209,-2.392505058,-8.150580586,=
3412,-8.052970751,1.569983095,97.85366439,-2.608197155,-8.068033885,=
3413,-8.003030113,1.172769545,98.95180662,-2.120194456,-8.018634491,=
3415,-8.04534447,1.101917302,91.01525295,-2.826067252,-8.094743951,=
3416,-8.176703727,0.155576951,120.3133425,-2.745482593,-8.090443971,=
3421,-8.06451014,0.391383677,84.47636566,-2.483340543,-8.146301788,=
3425,-7.788919846,-0.977106835,87.81761015,-0.760712681,-7.966576245,=
3434,-7.490670109,-4.057391827,99.88950868,-0.75279075,-7.540607512,=
3438,-7.414207303,-1.364815991,95.53936912,-0.956699817,-7.474955193,=
3441,-7.244532435,-0.181201777,104.6605378,-1.047435751,-7.203425667,=
3453,-8.046233799,0.140910183,86.49610069,-3.107813021,-8.119758224,=
3457,-8.049844998,0.053888528,63.41338556,-3.092155513,-8.270025714,=
3474,-9.809022019,0.057324095,298.9597876,-0.601950854,-8.625251654,=
3491,-6.854920538,40.80191735,90.41817361,-11.35901054,-6.542118103,=
3496,-7.035853773,-0.406327316,82.84348818,-1.048318761,-7.223298816,=
3497,-7.630097658,-5.656449338,102.2104132,-0.515043855,-7.684029655,=
3501,-7.584541648,-5.682201161,108.3664356,-0.648137365,-7.552841969,=
3509,-7.292647949,2.805146211,105.2236298,-1.252044682,-7.226945307,=
3520,-8.752207135,0.44729931,109.7954261,-1.138234047,-8.669586227,=
3526,-8.088603916,1.457833166,96.46600458,-2.334852178,-8.100726813,=
3546,-7.614224348,1.047779043,86.36554835,-1.691796054,-7.696803943,=
3548,-7.858991723,0.459269858,116.8760259,-0.950289625,-7.709965389,=
3565,-7.358317443,-0.01619793,102.8193805,-1.145678672,-7.332547047,=
3572,-7.017656034,1.262844876,93.85910799,-1.470063272,-7.060980224,=
3574,-7.120512889,1.21456956,96.3825818,-1.526352675,-7.138465589,=
3581,-7.021493166,-8.872816527,115.3579223,-0.53913999,-6.93930216,=
3601,-2.367476434,-554.2710968,120.8946791,-0.255942367,-6.008773924,=
3608,-6.456279063,6.573900727,85.08506673,-1.821642904,-6.527243551,=
3610,-7.383495197,-2.283810074,126.7690241,-0.61269753,-7.104577454,=
3615,-7.32778368,-0.099477057,85.21435821,-0.959024227,-7.498940738,=
3622,-7.618136416,1.009146976,94.51779034,-0.948307355,-7.663540266,=
3627,-7.167097287,0.383668006,96.03371887,-1.086972766,-7.196542884,=
3634,-7.381815126,1.147771265,96.2037338,-1.499462771,-7.401209493,=
3641,-7.53943,-0.304265865,128.2169292,-0.95699908,-7.331614083,=
3648,-7.471940972,-1.078754566,104.7136858,-0.798993549,-7.436518915,=
3669,-6.784126662,-0.097438991,101.9109933,-0.827011865,-6.761953897,=
3675,-6.702094671,4.766400351,90.7886211,-1.268931087,-6.73754891,=
3735,-6.686232469,-1.281601431,76.18797975,-0.817312432,-7.059981845,=
3742,-6.879407695,-4.282268877,90.9949251,-0.810776588,-7.038104526,=
3746,-8.08973879,0.593594458,94.52876988,-1.654951292,-8.120330794,=
3747,-8.036996295,1.466864304,85.74226598,-2.279447987,-8.116906641,=
3751,-8.062812787,1.237154598,81.09827019,-2.562486265,-8.160521953,=
3755,-6.830432843,5.756605289,83.00676709,-1.032643969,-6.958607315,=
3772,-7.942800364,2.737869667,102.0953747,-2.354598477,-7.93930216,=
3780,-8.11219007,0.347196813,85.51086725,-1.609703232,-8.206209615,=
3782,-8.174907801,1.20831587,69.1153275,-2.285602886,-8.36552273,=
3786,-8.325669923,0.808970118,84.53493268,-2.366235121,-8.417936637,=
3788,-7.606796981,4.557119167,110.8105335,-1.848982402,-7.536107011,=
3793,-6.834998201,11.281624,93.90047553,-1.156680877,-6.777283529,=
3809,-7.574477525,19.97910837,80.70601919,-2.218652081,-7.580044252,=
3814,-7.585844086,14.57394511,64.25516137,-2.945560446,-7.752026734,=
3817,-7.716155172,0.784377886,98.33464766,-0.857693932,-7.723538196,=
3820,-8.977576418,-1.675347462,133.4167057,-0.555604189,-8.595166283,=
3828,-8.382321527,0.144327086,78.04128118,-3.728783184,-8.53313238,=
3848,-7.940780854,-0.002929708,77.82626964,-2.418848731,-8.096367484,=
3850,-8.083137439,0.074126241,97.14916878,-2.320128383,-8.099632871,=
3865,-9.998797833,0.28006116,366.4654101,-0.454500918,-8.21395879,=
3889,-6.08493409,-6.214926572,90.38280705,-1.021690115,-6.234331445,=
3894,-6.87003934,-0.531680317,85.61949718,-1.337729411,-7,=
3902,-6.716564632,28.34187902,85.99187169,-2.04737024,-6.590066877,=
3903,-6.202593851,-0.96625347,97.92989044,-0.864404668,-6.233587153,=
3914,-6.448272461,20.45432405,99.25548486,-0.350844137,-5.809668302,=
3918,-6.605189457,21.09751732,80.75535398,-0.550247217,-6.555955204,=
3924,-5.736054285,0.168893418,73.97576315,-0.839274345,-6.133712661,=
3942,-8.441160272,22.37586363,99.27529513,-1.604499713,-8.263603498,=
3943,-8.783022164,48.31783041,133.2598644,-1.916393537,-7.876148359,=
3947,-9.018455217,35.22203085,142.0189568,-0.903875949,-8.097453221,=
3960,-8.679582665,2.045925155,112.9263665,-3.281812733,-8.598599459,=
3984,-8.680172992,0.684946461,106.7533947,-2.070197293,-8.630784143,=
3995,-8.849837628,10.57476702,99.48693686,-1.942182449,-8.790484985,=
3998,-8.129273619,4.38530107,80.28267109,-1.457677748,-8.253365801,=
4009,-7.840480594,3.053683887,73.84413681,-2.017957913,-8.032920266,=
4011,-6.540413521,37.89073672,84.41560081,-0.680793725,-5.860120914,=
4033,-7.022354483,23.58504723,92.48725904,-0.688704541,-6.71219827,=
4047,-1.834122393,-101.1503184,96.88000234,-0.153632954,-5.148130399,=
4070,-7.272096212,-1.224305839,93.6714234,-0.764741469,-7.36251027,=
4158,-5.981466591,41.69946228,89.9874889,-0.779168101,-5.085128182,=
4159,-6.35879506,25.7786477,63.91030674,-0.774537057,-6.684029655,=
4160,-6.472971053,34.05322741,79.21886064,-0.831886351,-6.142667504,=
4207,-5.972400643,-7.778853068,80.97992577,-0.770949502,-6.331614083,=
4208,-7.113635295,4.873276575,83.123104,-1.299321148,-7.223298816,=
4210,-6.620674972,-0.745104976,89.7305661,-1.303896797,-6.709965389,=
4218,-6.468195537,16.40866735,73.44910296,-1.375891093,-6.602059991,=
4386,-4.7591012,2.555919938,89.45503017,-0.038206489,-6.853871964,=
4419,-5.285265176,22.90238853,86.42165088,-4.702141368,-5.216096421,=
4425,-5.468245615,37.16708248,96.2745421,-10.26091723,-5.187755303,=
4443,-5.006357223,0.315145469,105.6348715,-7.842402274,-4.903089987,=
4448,-4.984509474,0.236357801,91.99002951,-9.888045245,-4.920818754,=
4452,-5.001244476,0.355971566,107.2568973,-8.492266003,-4.89279003,=
4453,-4.717983269,0.138681182,108.2412432,-10.18606192,-4.818156412,=
4456,-4.81229924,0.221999418,102.7215431,-13.75608954,-4.882728704,=
4464,-4.869285952,0.472636682,101.8564612,-12.40131906,-4.886056648,=
4465,-4.62182852,0.367019133,97.08362984,-8.574284542,-4.552841969,=
4466,-4.938171328,0.357360377,89.72206887,-6.037213756,-4.931814138,=
4468,-4.964985878,0.195751466,88.54148558,-9.732497904,-4.928117993,=
4485,-4.586212782,0.019062407,101.6072434,-6.008444731,-4.503070352,=
4493,-4.867417083,0.42802587,99.73889856,-15.0177685,-4.89279003,=
4497,-5.072121484,0.581636659,93.41764072,-3.940710889,-5.054531415,=
4506,-4.77809557,0.269236311,104.8742569,-14.62427195,-4.876148359,=
4523,-4.541712336,0.973150804,103.0801701,-9.196717115,-4.427128398,=
4533,-4.605199098,0.362634774,101.982761,-8.282950174,-4.501689446,=
4543,-4.620481238,0.884471831,103.4633598,-8.200008625,-4.527243551,=
4545,-4.606800552,0.256900243,98.36245891,-7.851323409,-4.522878745,=
4561,-4.590703233,0.039270132,98.08047728,-6.080678601,-4.519993057,=
4565,-5.064481647,-0.120794497,97.43460879,-7.843105731,-4.974694135,=
4566,-5.061418916,-0.602548945,106.5324372,-5.29779292,-4.974694135,=
4572,-5.200296497,-2.00423466,94.34877642,-2.169684929,-5.258060922,=
4584,-4.842869402,0.192721041,99.63981138,-4.341503553,-4.869666232,=
4586,-4.76994597,0.11744154,101.3677099,-10.71236519,-4.876148359,=
4591,-4.843838228,0.239579082,91.28047055,-6.612307282,-4.906578315,=
4598,-4.760943171,0.127319814,92.93561058,-15.26214627,-4.903089987,=
4613,-4.936943971,0.399770158,120.1604066,-4.902572488,-4.860120914,=
4619,-4.85781924,-0.240576218,90.05344684,-3.29912867,-4.910094889,=
4630,-5.030574442,-0.524074953,76.82656756,-4.49478682,-5.074172425,=
4648,-4.900233941,0.111980909,104.5745626,-4.593408306,-4.882728704,=
4656,-4.989055811,2.944804848,115.7789968,-5.07438821,-4.886056648,=
4665,-4.754569261,0.684155765,109.240547,-11.91030637,-4.853871964,=
4668,-4.923903493,0.130642156,114.1096949,-11.07011465,-4.863279433,=
4672,-5.019631561,-1.292623588,109.7550525,-10.5934527,-4.88941029,=
4674,-5.076121611,-0.928881447,91.07348806,-8.538570518,-5.008330993,=
4688,-4.972843958,-0.717848077,100.231311,-9.288284999,-4.899629455,=
4693,-4.830627306,0.173386435,80.52115418,-17.26781273,-4.950781977,=
4708,-4.876257489,0.189372305,100.5304331,-15.66413025,-4.88941029,=
4718,-4.908910535,0.210407738,110.4927726,-18.11307889,-4.869666232,=
4732,-4.953060294,0.228351616,109.4329015,-7.226447367,-4.879426069,=
4769,-4.760739569,0.180175367,103.4270895,-9.38385308,-4.860120914,=
4774,-4.820402764,0.164018798,102.0945626,-6.208936751,-4.866461092,=
4775,-5.010785287,0.031715545,103.4178286,-7.664521122,-4.910094889,=
4777,-4.729388105,-0.176864407,97.73123939,-9.610774056,-4.853871964,=
4822,-4.978598819,0.461844143,134.4275396,-9.291955149,-4.835647144,=
4827,-4.936774485,0.178598324,122.4855235,-7.602745392,-4.850780887,=
4828,-4.94179312,0.378080235,114.1944614,-18.34445031,-4.860120914,=
4833,-5.001190719,-0.057531383,96.55667017,-9.849544754,-4.913640169,=
4835,-4.75998564,0.298535615,104.9263389,-15.7828491,-4.876148359,=
4838,-4.861947646,0.099930051,96.13312617,-5.094747446,-4.89279003,=
4840,-4.931927969,0.131998915,100.0720191,-6.357860063,-4.899629455,=
4842,-4.889174198,0.010002088,98.16599588,-5.828977628,-4.896196279,=
4843,-4.813219077,-0.019918041,100.0439803,-4.695298012,-4.8569852,=
4851,-5.041393576,0.241739586,88.95455205,-8.721141158,-4.966576245,=
4852,-5.012938856,0.107704467,92.63163745,-9.47625974,-4.931814138,=
4854,-4.754311202,1.124672873,73.57942054,-12.89251982,-4.966576245,=
4858,-4.905486685,1.313772999,105.5652663,-21.61384179,-4.876148359,=
4866,-4.938922431,0.420274181,128.8422576,-3.864432671,-4.847711656,=
4867,-5.03795032,0.327643449,136.6498824,-8.340630634,-4.8569852,=
4872,-4.647820433,0.37323762,91.16406592,-9.305077912,-4.671620397,=
4886,-4.824446165,0.719001548,104.9924203,-11.57989579,-4.876148359,=
4889,-4.534655184,0.213120578,89.58346144,-7.634073572,-4.474955193,=
4899,-5.046873989,0.549032468,91.13628604,-6.721957887,-4.982966661,=
4907,-4.953857942,0.452359939,94.04173367,-7.520044031,-4.91721463,=
4915,-5.050272298,0.026404855,107.8392823,-5.140419453,-4.958607315,=
